type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Sportsman 700 Twin 2005,,Right Tank,1606,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 Twin 2005,,Left Tank,1607,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 Twin 2005,,Dashboard Cover,1601,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 Twin 2005,,Right Front Fender,1602,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 Twin 2005,,Left Front Fender,1603,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 Twin 2005,,Right Side Cover,1598,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 Twin 2005,,Left Side Cover,1597,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 Twin 2005,,Right Rear Fender,1604,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 Twin 2005,,Left Rear Fender,1605,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 Twin 2005,,Left Rear Fender,1605,Designer Added Icon 1,,845.6581778484673,184.53243956043963,22,0,4,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,,Right Rear Fender,1604,Designer Added Icon 1,,1257.3848221515327,184.53243956043963,22,0,4,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Sportsman 700 Twin 2005,,Left Side Cover,1597,Designer Added Icon 1,,429.4956513098029,-23.806102962491508,9,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,,Left Side Cover,1597,User Number,,476.6291069774983,206.6241247462415,,0,6,White,,,,,,,,,,,,1,left,114,Bold Italic 11,1,,,,
Sportsman 700 Twin 2005,,Right Side Cover,1598,Designer Added Icon 1,,441.71334869019705,-23.806102962491508,9,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Sportsman 700 Twin 2005,,Right Side Cover,1598,User Number,,394.57989302250166,206.6241247462415,,0,6,White,,,,,,,,,,,,1,left,114,Bold Italic 11,1,,,,
Sportsman 700 Twin 2005,,Left Tank,1607,Designer Added Icon 1,,644.4483333398405,-198.8989455881083,2.279169561165309,59,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Sportsman 700 Twin 2005,,Left Tank,1607,Designer Added Icon 2,,65.82284664370229,284.0730053669339,11.379169561165337,40,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Sportsman 700 Twin 2005,,Right Tank,1606,Designer Added Icon 1,,537.8176666601596,-198.8989455881083,2.279169561165309,-59,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,,Right Tank,1606,Designer Added Icon 2,,1116.443153356298,284.0730053669339,11.379169561165337,-40,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,,Left Front Fender,1603,Designer Added Icon 1,,1043.0739029131528,555.2481371221019,18,0,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,,Right Front Fender,1602,Designer Added Icon 1,,732.8580970868472,555.2481371221019,18,0,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Sportsman 700 Twin 2005,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Rear Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Right Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportsman 700 Twin 2005,X,Left Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
