type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Trail Blazer 2000-2001,,Right Tank,1172,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Left Tank,1174,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Right Front Fender,1162,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Left Front Fender,1163,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Rear Facing Right Front Fender,1164,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Rear Facing Left Front Fender,1165,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Front Hood,1168,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Upper Right Shroud,1156,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Upper Left Shroud,1157,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Right Side Cover,1160,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Left Side Cover,1161,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Right Rear Fender,1166,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Left Rear Fender,1167,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 2000-2001,,Left Rear Fender,1167,Designer Added Icon 1,,1250.2773579390507,138.07152977097024,24,9,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,,Right Rear Fender,1166,Designer Added Icon 1,,1081.3336420609492,138.07152977097024,24,-9,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Trail Blazer 2000-2001,,Left Side Cover,1161,Designer Added Icon 1,,689.3902461204057,-370.2588054094531,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,,Left Side Cover,1161,User Number,,716.5889766004519,113.40557573571759,,0,6,White,,,,,,,,,,,,1,left,153,Bold Italic 11,1,,,,
Trail Blazer 2000-2001,,Right Side Cover,1160,Designer Added Icon 1,,496.35375387959425,-370.2588054094531,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Trail Blazer 2000-2001,,Right Side Cover,1160,User Number,,469.155023399548,113.40557573571759,,0,6,White,,,,,,,,,,,,1,left,153,Bold Italic 11,1,,,,
Trail Blazer 2000-2001,,Left Tank,1174,Designer Added Icon 1,,802.6826072118319,-242.2263841073604,2.7066116925995565,55,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Trail Blazer 2000-2001,,Left Tank,1174,Designer Added Icon 2,,178.0518379810627,371.99387230289597,12.506611692599602,36,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Trail Blazer 2000-2001,,Right Tank,1172,Designer Added Icon 1,,752.5363927881682,-242.2263841073604,2.7066116925995565,-55,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,,Right Tank,1172,Designer Added Icon 2,,1377.1671620189372,371.99387230289597,12.506611692599602,-36,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,,Left Front Fender,1163,Designer Added Icon 1,,463.73313431308117,902.8621855537425,10.590599307904176,-65,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Trail Blazer 2000-2001,,Right Front Fender,1162,Designer Added Icon 1,,161.9508656869188,902.8621855537425,10.590599307904176,65,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,,Upper Left Shroud,1157,Designer Added Icon 1,,964.4922502561041,636.7233866398514,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,,Upper Right Shroud,1156,Designer Added Icon 1,,651.3667497438959,636.7233866398514,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Trail Blazer 2000-2001,,Front Hood,1168,Designer Added Icon 1,,298.93681168376526,502.7381118369557,12.880434559643104,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 2000-2001,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
