type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Trail Blazer 250 2003,,Right Tank,1172,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Left Tank,1174,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Right Front Fender,1162,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Left Front Fender,1163,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Rear Facing Right Front Fender,1164,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Rear Facing Left Front Fender,1165,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Front Hood,1168,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Upper Right Shroud,1156,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Upper Left Shroud,1157,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Right Side Cover,1160,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Left Side Cover,1161,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Right Rear Fender,1166,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Left Rear Fender,1167,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 250 2003,,Left Rear Fender,1167,Designer Added Icon 1,,939.2529999286401,236.52528338577648,24,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,,Right Rear Fender,1166,Designer Added Icon 1,,1392.3580000713598,236.52528338577648,24,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Trail Blazer 250 2003,,Left Side Cover,1161,Designer Added Icon 1,,702.3983346108625,-266.1940974857977,11.3,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,,Left Side Cover,1161,User Number,,737.8749395848359,125.23111072704205,,0,6,White,,,,,,,,,,,,1,left,144,Bold Italic 11,1,,,,
Trail Blazer 250 2003,,Right Side Cover,1160,Designer Added Icon 1,,483.34566538913737,-266.1940974857977,11.3,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Trail Blazer 250 2003,,Right Side Cover,1160,User Number,,447.869060415164,125.23111072704205,,0,6,White,,,,,,,,,,,,1,left,144,Bold Italic 11,1,,,,
Trail Blazer 250 2003,,Left Tank,1174,Designer Added Icon 1,,215.23224091146562,453.7907587497824,10.806611692599578,30,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Trail Blazer 250 2003,,Left Tank,1174,Designer Added Icon 2,,737.2450980543227,-215.45649399747026,2.806611692599556,49,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Trail Blazer 250 2003,,Right Tank,1172,Designer Added Icon 1,,1339.9867590885344,453.7907587497824,10.806611692599578,-30,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,,Right Tank,1172,Designer Added Icon 2,,817.9739019456773,-215.45649399747026,2.806611692599556,-49,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,,Left Front Fender,1163,Designer Added Icon 1,,448.6716195912528,857.6776413882575,11.940599307904195,-69,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Trail Blazer 250 2003,,Right Front Fender,1162,Designer Added Icon 1,,177.01238040874716,857.6776413882575,11.940599307904195,69,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,,Upper Left Shroud,1157,Designer Added Icon 1,,925.4889246343574,614.8815242916733,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,,Upper Right Shroud,1156,Designer Added Icon 1,,690.3700753656425,614.8815242916733,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Trail Blazer 250 2003,,Front Hood,1168,Designer Added Icon 1,,298.93681168376526,502.7381118369557,10.392900560743671,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 250 2003,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
