type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Trail Blazer 330 2008-2009,,Right Tank,1172,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Left Tank,1174,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Right Front Fender,1162,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Left Front Fender,1163,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Rear Facing Right Front Fender,1164,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Rear Facing Left Front Fender,1165,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Front Hood,1168,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Upper Right Shroud,1156,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Upper Left Shroud,1157,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Right Side Cover,1160,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Left Side Cover,1161,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Right Rear Fender,1166,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Left Rear Fender,1167,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Trail Blazer 330 2008-2009,,Left Rear Fender,1167,Designer Added Icon 1,,997.4302179737529,252.1883805517684,24,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,,Right Rear Fender,1166,Designer Added Icon 1,,1334.180782026247,252.1883805517684,24,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Trail Blazer 330 2008-2009,,Left Side Cover,1161,Designer Added Icon 1,,831.2966660162992,-344.24262842853926,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,,Left Side Cover,1161,User Number,,778.0817585553391,131.14387822270427,,0,6,White,,,,,,,,,,,,1,left,147,Bold Italic 11,1,,,,
Trail Blazer 330 2008-2009,,Right Side Cover,1160,Designer Added Icon 1,,354.4473339837007,-344.24262842853926,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Trail Blazer 330 2008-2009,,Right Side Cover,1160,User Number,,407.6622414446608,131.14387822270427,,0,6,White,,,,,,,,,,,,1,left,147,Bold Italic 11,1,,,,
Trail Blazer 330 2008-2009,,Left Tank,1174,Designer Added Icon 1,,195.8984313876561,412.1487074677311,11.5,33,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Trail Blazer 330 2008-2009,,Left Tank,1174,Designer Added Icon 2,,952.8914350506597,-495.0531240341003,4.2,52,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Trail Blazer 330 2008-2009,,Right Tank,1172,Designer Added Icon 1,,1359.320568612344,412.1487074677311,11.5,-33,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,,Right Tank,1172,Designer Added Icon 2,,602.3275649493404,-495.0531240341003,4.2,-52,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,,Left Front Fender,1163,Designer Added Icon 1,,313.1179870947978,902.8621855537424,12.640599307904205,114,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Trail Blazer 330 2008-2009,,Right Front Fender,1162,Designer Added Icon 1,,312.5660129052022,902.8621855537424,12.640599307904205,-114,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,,Upper Left Shroud,1157,Designer Added Icon 1,,967.6125163058438,614.8815242916733,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,,Upper Right Shroud,1156,Designer Added Icon 1,,648.2464836941562,614.8815242916733,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Trail Blazer 330 2008-2009,,Front Hood,1168,Designer Added Icon 1,,298.93681168376526,502.7381118369557,15.1,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trail Blazer 330 2008-2009,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
