type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Pro Shark 100 R MX (Black) 2009,,Right Tank,1098,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Left Tank,1099,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Rear Fender,1095,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Right Front Fender,1091,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Left Front Fender,1092,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Front Hood,1089,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Right Side Cover,1087,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Left Side Cover,1088,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Right Rear Fender,1093,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Left Rear Fender,1094,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Left Rear Fender,1094,Designer Added Icon 1,,643.8763507294857,187.47228666423987,15,0,5,Very Dark Ash Grey,8320,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Right Rear Fender,1093,Designer Added Icon 1,,834.2386492705143,187.47228666423987,15,0,5,Very Dark Ash Grey,8320,,,,,,,,,,,,,,,,,1,,
Pro Shark 100 R MX (Black) 2009,,Rear Fender,1095,Designer Added Icon 1,,294.172,150.5402662086801,8.643280603115485,0,3,Very Dark Ash Grey,8314,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Left Side Cover,1088,Designer Added Icon 1,,680.9105909967227,-360.39437581188577,15,-17,5,Very Dark Ash Grey,6984,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Left Side Cover,1088,User Number,,921.9800974551765,189.59054610829926,,-14,6,White,,,,,,,,,,,,1,left,185,Bold Italic 11,1,,,,
Pro Shark 100 R MX (Black) 2009,,Right Side Cover,1087,Designer Added Icon 1,,807.6654090032773,-360.39437581188577,15,17,5,Very Dark Ash Grey,6984,,,,,,,,,,,,,,,,,1,,
Pro Shark 100 R MX (Black) 2009,,Right Side Cover,1087,User Number,,566.5959025448235,189.59054610829926,,14,6,White,,,,,,,,,,,,1,left,185,Bold Italic 11,1,,,,
Pro Shark 100 R MX (Black) 2009,,Left Tank,1099,Designer Added Icon 1,,964.4529853901091,468.09888597981234,12.582721538208043,23,5,Very Dark Ash Grey,6981,,,,,,,,,,,,,,,,,1,,
Pro Shark 100 R MX (Black) 2009,,Left Tank,1099,Designer Added Icon 2,,1492.5466194753221,-365.01434710289453,3.1827215382079954,42,6,Very Dark Ash Grey,7310,,,,,,,,,,,,,,,,,1,,
Pro Shark 100 R MX (Black) 2009,,Right Tank,1098,Designer Added Icon 1,,1399.6490146098909,468.09888597981234,12.582721538208043,-23,5,Very Dark Ash Grey,6981,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Right Tank,1098,Designer Added Icon 2,,871.5553805246777,-365.01434710289453,3.1827215382079954,-42,6,Very Dark Ash Grey,7310,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Left Front Fender,1092,Designer Added Icon 1,,377.54592637010484,732.6156792645263,9.626100323438926,93,5,Very Dark Ash Grey,6981,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,,Right Front Fender,1091,Designer Added Icon 1,,377.5440736298952,732.6156792645263,9.626100323438926,-93,5,Very Dark Ash Grey,6981,,,,,,,,,,,,,,,,,1,,
Pro Shark 100 R MX (Black) 2009,,Front Hood,1089,Designer Added Icon 1,,682.3626175661022,989.2505486288155,24.445360000000008,0,5,Very Dark Ash Grey,8313,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (Black) 2009,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
