type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Pro Shark 100 R MX (White) 2009,,Right Tank,1098,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Left Tank,1099,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Rear Fender,1095,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Right Front Fender,1091,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Left Front Fender,1092,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Front Hood,1089,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Right Side Cover,1087,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Left Side Cover,1088,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Right Rear Fender,1093,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Left Rear Fender,1094,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Left Rear Fender,1094,Designer Added Icon 1,,726.9046869546639,198.92447097116104,15,0,5,Very Dark Ash Grey,8320,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Right Rear Fender,1093,Designer Added Icon 1,,751.2103130453361,198.92447097116104,15,0,5,Very Dark Ash Grey,8320,,,,,,,,,,,,,,,,,1,,
Pro Shark 100 R MX (White) 2009,,Rear Fender,1095,Designer Added Icon 1,,294.172,150.5402662086801,8.102677381497879,0,3,Very Dark Ash Grey,8314,,,,,,,,,,,,,,,,,,,
Pro Shark 100 R MX (White) 2009,,Left Side Cover,1088,Designer Added Icon 1,,735.7647301908619,-387.82144540895536,15,-16,5,Very Dark Ash Grey,6984,,,,,,,,,,,,,,,,,,,
