type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KingQuad 750 AXi (Green) 2012-2014,,Right Tank,255,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Left Tank,256,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Dashboard Cover,183,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Right Front Fender,185,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Left Front Fender,186,Background,,0,0,1,0,2,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Front Hood,184,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Right Side Cover,189,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Left Side Cover,190,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Right Rear Fender,191,Background,,0,0,1,0,2,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Left Rear Fender,192,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Left Rear Fender,192,Designer Added Icon 1,,516.7226490113584,162.43581199096315,20,0,4,Black,8320,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Right Rear Fender,191,Designer Added Icon 1,,1450.4273509886416,162.43581199096315,20,0,4,Black,8320,,,,,,,,,,,,,,,,,1,,
KingQuad 750 AXi (Green) 2012-2014,,Left Side Cover,190,Designer Added Icon 1,,1151.8368157272234,-13.92980618908161,18.5,9,5,Black,6984,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi (Green) 2012-2014,,Left Side Cover,190,User Number,,1403.3793740460976,630.9338433193047,,9,6,White,,,,,,,,,,,,1,left,346,Bold Italic 11,1,,,,
