type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KingQuad 750 AXi Limited Edition 2014,,Right Tank,255,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Left Tank,256,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Dashboard Cover,183,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Right Front Fender,185,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Left Front Fender,186,Background,,0,0,1,0,2,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Front Hood,184,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Right Side Cover,189,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Left Side Cover,190,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Right Rear Fender,191,Background,,0,0,1,0,2,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Left Rear Fender,192,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Left Rear Fender,192,Designer Added Icon 1,,637.5997340316013,109.55208729460688,20,0,4,Black,8320,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Right Rear Fender,191,Designer Added Icon 1,,1329.550265968399,109.55208729460688,20,0,4,Black,8320,,,,,,,,,,,,,,,,,1,,
KingQuad 750 AXi Limited Edition 2014,,Left Side Cover,190,Designer Added Icon 1,,1094.668052472934,107.26797191001228,15.7,10,5,Black,6984,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi Limited Edition 2014,,Left Side Cover,190,User Number,,1437.6806319986713,680.2278859353383,,10,6,White,,,,,,,,,,,,1,left,426,Bold Italic 11,1,,,,
KingQuad 750 AXi Limited Edition 2014,,Left Tank,256,Designer Added Icon 1,,746.8636642995906,-409.8284470514747,3.128665549138144,31,5,Black,7310,,,,,,,,,,,,,,,,,1,,
KingQuad 750 AXi Limited Edition 2014,,Left Tank,256,Designer Added Icon 2,,381.83794808597963,530.0409167426259,15,12,6,Black,6981,,,,,,,,,,,,,,,,,1,,
