type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Tank,255,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Tank,256,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Dashboard Cover,183,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Front Fender,185,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Front Fender,186,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Front Hood,184,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Side Cover,189,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Side Cover,190,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Rear Fender,191,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Rear Fender,192,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Rear Fender,192,Designer Added Icon 1,,786.8073858534636,115.21820065493075,20,0,4,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Rear Fender,191,Designer Added Icon 1,,1180.3426141465366,115.21820065493075,20,0,4,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Side Cover,190,Designer Added Icon 1,,1237.7188668260023,40.95220653503636,19.7,0,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Side Cover,190,User Number,,1554.304909037422,630.9338433193047,,0,6,White,,,,,,,,,,,,1,left,328,Bold Italic 11,1,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Side Cover,189,Designer Added Icon 1,,1188.5920001730499,42.7071048883245,19.7,0,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,1,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Side Cover,189,User Number,,944.7580909625781,630.9338433193047,,0,6,White,,,,,,,,,,,,1,left,328,Bold Italic 11,1,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Tank,256,Designer Added Icon 1,,659.2000080435658,-323.60189991440126,2.4786655491381464,23,5,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,1,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Tank,256,Designer Added Icon 2,,508.30355055368733,459.62256991401597,12.200000000000028,4,6,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Tank,255,Designer Added Icon 1,,828.7019919564342,-323.60189991440126,2.4786655491381464,-23,5,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Tank,255,Designer Added Icon 2,,979.5984494463128,459.62256991401597,12.200000000000028,-4,6,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Left Front Fender,186,Designer Added Icon 1,,761.7694335349215,254.3573544088457,12.5,-11,3,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Right Front Fender,185,Designer Added Icon 1,,787.8435664650785,254.3573544088457,12.5,11,3,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Front Hood,184,Designer Added Icon 1,,295.2715,107.342,8.15969868218442,0,4,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,,Dashboard Cover,183,Designer Added Icon 1,,267.80768961617343,291.4975,9.070444633271258,0,5,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
KingQuad 750 AXi Power Steering Limited Edition 2013,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
