type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Right Tank,255,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Left Tank,256,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Dashboard Cover,183,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Right Front Fender,185,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Left Front Fender,186,Background,,0,0,1,0,2,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Front Hood,184,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Right Side Cover,189,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Left Side Cover,190,Background,,0,0,1,0,4,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Right Rear Fender,191,Background,,0,0,1,0,2,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Left Rear Fender,192,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,1,0,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Left Rear Fender,192,Designer Added Icon 1,,726.3688433433422,90.66504276019391,20,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Right Rear Fender,191,Designer Added Icon 1,,1240.781156656658,90.66504276019391,20,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Left Side Cover,190,Designer Added Icon 1,,1172.4175704987679,-55.0913157321701,18.7,8,5,Black,6984,,,,,,,,,,,,,,,,,,,
KingQuad 750 Axi Power Steering (Green) 2012-2014,,Left Side Cover,190,User Number,,1341.4403179913768,639.263168132338,,9,6,White,,,,,,,,,,,,1,left,343,Bold Italic 11,1,,,,
