type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadRacer R450 (Black) 2008,,Right Tank,269,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Left Tank,270,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Rear Fender,373,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Right Front Fender,386,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Left Front Fender,387,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Front Hood,66,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Upper Right Shroud,72,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Upper Left Shroud,71,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Lower Right Shroud,60,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Lower Left Shroud,61,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Battery Cover,400,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Right Frame,401,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Left Frame,402,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Right Side Cover,64,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Left Side Cover,65,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Right Rear Fender,74,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Left Rear Fender,73,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Rear Plate,75,Background,,0,0,1,0,3,Black,,Black,,,,15,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Right Rear Wheel Rim,699,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Left Rear Wheel Rim,699,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Right Radiator Cooling Fin,702,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Left Radiator Cooling Fin,703,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (Black) 2008,,Rear Plate,75,Designer Added Icon 1,,251.96413036812567,350.9988711707356,10.275183890800193,0,4,Suzuki Yellow,8314,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (Black) 2008,,Left Rear Fender,73,Designer Added Icon 1,,502.23968453322027,124.71836429451395,11,-4,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (Black) 2008,,Right Rear Fender,74,Designer Added Icon 1,,502.5393154667797,124.71836429451395,11,4,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
QuadRacer R450 (Black) 2008,,Left Side Cover,65,Designer Added Icon 1,,493.7676301817834,7.932094598316718,5.815358123912368,3,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (Black) 2008,,Left Side Cover,65,User Number,,745.9203010040795,147.72006452312877,,3,6,White,,,,,,,,,,,,1,left,161,Bold Italic 11,1,,,,
QuadRacer R450 (Black) 2008,,Right Side Cover,64,Designer Added Icon 1,,616.0788765552034,7.932094598316716,5.815358123912368,-3,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,1,,
QuadRacer R450 (Black) 2008,,Right Side Cover,64,User Number,,368.7616989959205,147.72006452312877,,-3,6,White,,,,,,,,,,,,1,left,161,Bold Italic 11,1,,,,
