type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadRacer R450 (White) 2006-2007,,Right Tank,269,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Left Tank,270,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Rear Fender,373,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Right Front Fender,386,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Left Front Fender,387,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Front Hood,66,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Upper Right Shroud,72,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Upper Left Shroud,71,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Lower Right Shroud,60,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Lower Left Shroud,61,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Battery Cover,400,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Right Frame,401,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Left Frame,402,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Right Side Cover,64,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Left Side Cover,65,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Right Rear Fender,74,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Left Rear Fender,73,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Rear Plate,75,Background,,0,0,1,0,3,Black,,Black,,,,15,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Right Rear Wheel Rim,699,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Left Rear Wheel Rim,699,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Right Radiator Cooling Fin,702,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Left Radiator Cooling Fin,703,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Rear Plate,75,Designer Added Icon 1,,251.96413036812567,350.9988711707356,10.250000000000025,0,4,Suzuki Yellow,8314,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Left Rear Fender,73,Designer Added Icon 1,,502.23968453322027,144.08370071248194,11.400000000000006,-3,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Right Rear Fender,74,Designer Added Icon 1,,502.5393154667797,144.08370071248194,11.400000000000006,3,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
QuadRacer R450 (White) 2006-2007,,Left Side Cover,65,Designer Added Icon 1,,573.8735687889263,-88.84419227270702,7.915358123912361,5,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Left Side Cover,65,User Number,,729.790919858909,169.22590605002293,,4,6,White,,,,,,,,,,,,1,left,151,Bold Italic 11,1,,,,
QuadRacer R450 (White) 2006-2007,,Right Side Cover,64,Designer Added Icon 1,,540.8084312110738,-88.84419227270702,7.915358123912361,-5,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,1,,
QuadRacer R450 (White) 2006-2007,,Right Side Cover,64,User Number,,384.89108014109104,169.22590605002293,,-4,6,White,,,,,,,,,,,,1,left,151,Bold Italic 11,1,,,,
QuadRacer R450 (White) 2006-2007,,Left Tank,270,Designer Added Icon 1,,340.1566997129899,473.53144829085704,9.771084329830671,5,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadRacer R450 (White) 2006-2007,,Left Tank,270,Designer Added Icon 2,,501.39874713924786,-164.98705951712452,2.0210843298306678,24,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,1,,
QuadRacer R450 (White) 2006-2007,,Right Tank,269,Designer Added Icon 1,,996.50130028701,473.53144829085704,9.771084329830671,-5,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Right Tank,269,Designer Added Icon 2,,835.259252860752,-164.98705951712452,2.0210843298306678,-24,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Lower Left Shroud,61,Designer Added Icon 1,,520.3350208254877,448.8408950266448,11,0,3,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Lower Right Shroud,60,Designer Added Icon 1,,521.7139791745122,448.8408950266448,11,0,3,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,1,,
QuadRacer R450 (White) 2006-2007,,Left Front Fender,387,Designer Added Icon 1,,386.9563336422377,345.2590215663081,6.556382435675494,-24,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadRacer R450 (White) 2006-2007,,Right Front Fender,386,Designer Added Icon 1,,386.9556663577623,345.2590215663081,6.556382435675494,24,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,,Front Hood,66,Designer Added Icon 1,,310.31,477.65708926662205,11.165190345852812,0,5,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadRacer R450 (White) 2006-2007,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
