type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadSport LT-A50 2003-2004,,Right Tank,1214,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT-A50 2003-2004,,Left Tank,1215,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT-A50 2003-2004,,Right Front Fender,1210,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT-A50 2003-2004,,Left Front Fender,1211,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT-A50 2003-2004,,Front Hood,1208,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT-A50 2003-2004,,Right Rear Fender,1212,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT-A50 2003-2004,,Left Rear Fender,1213,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT-A50 2003-2004,,Left Rear Fender,1213,Designer Added Icon 1,,327.8550071400961,156.0858624615214,9.200000000000014,-8,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,,Right Rear Fender,1212,Designer Added Icon 1,,328.91499285990386,156.0858624615214,9.200000000000014,8,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
QuadSport LT-A50 2003-2004,,Left Tank,1215,Designer Added Icon 1,,782.6100989910409,-53.5808574373068,9.518787566506278,25,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,,Left Tank,1215,User Number,,780.8114112964104,300.33474812545325,,26,6,White,,,,,,,,,,,,1,left,193,Bold Italic 11,1,,,,
QuadSport LT-A50 2003-2004,,Right Tank,1214,Designer Added Icon 1,,800.4096251408365,-60.28831433839877,9.518787566506278,-25,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,1,,
QuadSport LT-A50 2003-2004,,Right Tank,1214,User Number,,811.1515887035896,300.33474812545325,,-26,6,White,,,,,,,,,,,,1,left,193,Bold Italic 11,1,,,,
QuadSport LT-A50 2003-2004,,Left Front Fender,1211,Designer Added Icon 1,,208.56441822688197,306.8488398546321,5.461486111486666,-37,6,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadSport LT-A50 2003-2004,,Right Front Fender,1210,Designer Added Icon 1,,208.00758177311803,306.8488398546321,5.461486111486666,37,6,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,,Front Hood,1208,Designer Added Icon 1,,528.6803614434434,578.9714388792048,15.110442562041172,0,5,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT-A50 2003-2004,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
