type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadSport LT160 2004,,Right Tank,1470,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Left Tank,1471,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Rear Fender,1480,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Right Front Fender,1472,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Left Front Fender,1473,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Rear Facing Right Front Fender,1474,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Rear Facing Left Front Fender,1475,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Front Hood,1479,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Right Side Cover,1476,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Right Rear Fender,1478,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Left Rear Fender,1477,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT160 2004,,Left Rear Fender,1477,Designer Added Icon 1,,949.9023974124297,265.83065198149933,21,0,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,,Right Rear Fender,1478,Designer Added Icon 1,,1025.5856025875705,265.83065198149933,21,0,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
QuadSport LT160 2004,,Left Tank,1471,Designer Added Icon 1,,1048.1403165790823,651.449563141255,15.936384882487236,-6,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadSport LT160 2004,,Left Tank,1471,Designer Added Icon 2,,610.3117200878543,-710.149258913883,4.836384882487134,14,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,1,,
QuadSport LT160 2004,,Right Tank,1470,Designer Added Icon 1,,1447.4906834209175,651.449563141255,15.936384882487236,6,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,,Right Tank,1470,Designer Added Icon 2,,1885.3192799121457,-710.149258913883,4.836384882487134,-14,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,,Rear Facing Left Front Fender,1475,Designer Added Icon 1,,247.87816116488028,392.2856376192658,5,0,3,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,,Rear Facing Right Front Fender,1474,Designer Added Icon 1,,249.05583883511974,392.2856376192658,5,0,3,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,1,,
QuadSport LT160 2004,,Left Front Fender,1473,Designer Added Icon 1,,338.04242193820113,382.31502546334673,7.340641940731217,-32,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadSport LT160 2004,,Right Front Fender,1472,Designer Added Icon 1,,338.44957806179883,382.31502546334673,7.340641940731217,32,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,,Front Hood,1479,Designer Added Icon 1,,525.3900847923632,716.9448410846004,22.1,0,5,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT160 2004,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
