type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadSport LT80 (Red) 2004-2006,,Right Tank,878,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,,Left Tank,879,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,,Front Hood,877,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,,Right Side Cover,875,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,,Left Side Cover,876,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,,Right Side Cover,875,Designer Added Icon 1,,400.173914222704,63.133726258428645,5.053687390329428,-10,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
QuadSport LT80 (Red) 2004-2006,,Left Tank,879,Designer Added Icon 1,,417.6004617937032,490.0680704630046,8.070112199515348,3,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadSport LT80 (Red) 2004-2006,,Left Tank,879,Designer Added Icon 2,,539.8415549111121,-86.21136851906597,1.8701121995153682,22,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,1,,
QuadSport LT80 (Red) 2004-2006,,Right Tank,878,Designer Added Icon 1,,790.9225382062967,490.0680704630046,8.070112199515348,-3,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,,Right Tank,878,Designer Added Icon 2,,668.6814450888878,-86.21136851906597,1.8701121995153682,-22,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,,Front Hood,877,Designer Added Icon 1,,248.15149347506792,221.51638772045467,8.046564532752011,0,5,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,,Right Side Cover,875,User Number,,290.63139214478326,159.65288555853218,,-16,6,White,,,,,,,,,,,,1,left,100,Bold Italic 11,1,,,,
QuadSport LT80 (Red) 2004-2006,,Left Side Cover,876,Designer Added Icon 1,,131.72863075084098,61.51383207853446,5.053687390329428,10,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,,Left Side Cover,876,User Number,,317.40617928378816,145.07383793948455,,16,6,White,,,,,,,,,,,,1,left,100,Bold Italic 11,1,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 (Red) 2004-2006,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
