type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadSport LT80 2000-2006,,Right Tank,878,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 2000-2006,,Left Tank,879,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 2000-2006,,Front Hood,877,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 2000-2006,,Right Side Cover,875,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 2000-2006,,Left Side Cover,876,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport LT80 2000-2006,,Left Side Cover,876,Designer Added Icon 1,,254.86811962442212,-26.497680803897985,4.949999999999991,16,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,,Left Side Cover,876,User Number,,321.18768295582754,133.16052721615216,,16,6,White,,,,,,,,,,,,1,left,105,Bold Italic 11,1,,,,
QuadSport LT80 2000-2006,,Right Side Cover,875,Designer Added Icon 1,,385.77788037557787,-26.497680803897985,4.949999999999991,-16,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,1,,
QuadSport LT80 2000-2006,,Right Side Cover,875,User Number,,319.4583170441724,133.16052721615216,,-16,6,White,,,,,,,,,,,,1,left,105,Bold Italic 11,1,,,,
QuadSport LT80 2000-2006,,Left Tank,879,Designer Added Icon 1,,435.06347509619013,490.0680704630046,8.320112199515352,0,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadSport LT80 2000-2006,,Left Tank,879,Designer Added Icon 2,,516.5575371744627,-156.06342172901392,2.120112199515368,18,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,1,,
QuadSport LT80 2000-2006,,Right Tank,878,Designer Added Icon 1,,773.4595249038098,490.0680704630046,8.320112199515352,0,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,,Right Tank,878,Designer Added Icon 2,,691.9654628255372,-156.06342172901392,2.120112199515368,-18,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,,Front Hood,877,Designer Added Icon 1,,248.15149347506792,221.51638772045467,7.646564532752012,0,5,Suzuki Yellow,8314,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport LT80 2000-2006,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
