type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadSport Z250 (Yellow) 2009,,Right Tank,880,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Left Tank,881,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Right Front Fender,884,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Left Front Fender,885,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Front Hood,890,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Upper Right Shroud,882,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Upper Left Shroud,883,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Right Side Cover,888,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Left Side Cover,889,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Right Rear Fender,886,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Left Rear Fender,887,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Left Rear Fender,887,Designer Added Icon 1,,630.9272299632431,207.9861939143584,13.05,7,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Right Rear Fender,886,Designer Added Icon 1,,632.6407700367569,207.9861939143584,13.05,-7,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
QuadSport Z250 (Yellow) 2009,,Left Side Cover,889,Designer Added Icon 1,,349.3422530910576,-34.029575278312336,6.3475146456348375,-23,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,,,
QuadSport Z250 (Yellow) 2009,,Left Side Cover,889,User Number,,519.6447593567218,141.2818282304596,,-22,6,White,,,,,,,,,,,,1,left,135,Bold Italic 11,1,,,,
QuadSport Z250 (Yellow) 2009,,Right Side Cover,888,Designer Added Icon 1,,695.3977469089424,-34.029575278312336,6.3475146456348375,23,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,1,,
QuadSport Z250 (Yellow) 2009,,Right Side Cover,888,User Number,,525.0952406432782,141.2818282304596,,22,6,White,,,,,,,,,,,,1,left,135,Bold Italic 11,1,,,,
QuadSport Z250 (Yellow) 2009,,Left Tank,881,Designer Added Icon 1,,528.7571533641795,553.3713847467629,11.666567466628665,35,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
