type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadSport Z400 (Black) 2008,,Right Tank,271,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Left Tank,272,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Right Front Fender,1183,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Left Front Fender,1184,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Front Hood,80,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Upper Right Shroud,76,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Upper Left Shroud,77,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Right Side Cover,81,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Left Side Cover,82,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Right Rear Fender,420,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Left Rear Fender,421,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (Black) 2008,,Left Rear Fender,421,Designer Added Icon 1,,534.7661869762367,309.5920061502384,15.350000000000005,-13,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (Black) 2008,,Right Rear Fender,420,Designer Added Icon 1,,907.2548130237633,309.5920061502384,15.350000000000005,13,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
