type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadSport Z400 (White) 2003-2004,,Right Tank,271,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Left Tank,272,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Right Front Fender,1183,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Left Front Fender,1184,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Front Hood,80,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Upper Right Shroud,76,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Upper Left Shroud,77,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Right Side Cover,81,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Left Side Cover,82,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Right Rear Fender,420,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Left Rear Fender,421,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Left Rear Fender,421,Designer Added Icon 1,,569.6019542791092,351.3949269136855,15.350000000000005,-18,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Right Rear Fender,420,Designer Added Icon 1,,872.4190457208907,351.3949269136855,15.350000000000005,18,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 (White) 2003-2004,,Left Side Cover,82,Designer Added Icon 1,,584.3966798851995,-64.74431431480369,9.097633113423052,8,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Left Side Cover,82,User Number,,650.1006127943956,252.82469474631063,,9,6,White,,,,,,,,,,,,1,left,172,Bold Italic 11,1,,,,
QuadSport Z400 (White) 2003-2004,,Right Side Cover,81,Designer Added Icon 1,,549.8003201148003,-64.74431431480369,9.097633113423052,-8,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 (White) 2003-2004,,Right Side Cover,81,User Number,,484.0963872056043,252.82469474631063,,-9,6,White,,,,,,,,,,,,1,left,172,Bold Italic 11,1,,,,
QuadSport Z400 (White) 2003-2004,,Left Tank,272,Designer Added Icon 1,,416.7869021763582,553.2575199017147,10.487269031988397,29,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 (White) 2003-2004,,Left Tank,272,Designer Added Icon 2,,949.8879331213913,-154.60665892888008,2.9872690319883803,48,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 (White) 2003-2004,,Right Tank,271,Designer Added Icon 1,,1056.0040978236418,553.2575199017147,10.487269031988397,-29,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Right Tank,271,Designer Added Icon 2,,522.9030668786087,-154.60665892888008,2.9872690319883803,-48,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Left Front Fender,1184,Designer Added Icon 1,,332.0616052367282,486.4835,7.214150205613052,-46,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 (White) 2003-2004,,Right Front Fender,1183,Designer Added Icon 1,,180.5243947632718,486.4835,7.214150205613052,46,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Upper Left Shroud,77,Designer Added Icon 1,,542.303213745253,334.62964874746217,10,0,6,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,,Upper Right Shroud,76,Designer Added Icon 1,,450.48978625474706,334.62964874746217,10,0,6,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 (White) 2003-2004,,Front Hood,80,Designer Added Icon 1,,192.10114347096555,146.12212086495893,6.203421352887562,0,5,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 (White) 2003-2004,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
