type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
QuadSport Z400 2003-2007,,Right Tank,271,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Left Tank,272,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Right Front Fender,1183,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Left Front Fender,1184,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Front Hood,80,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Upper Right Shroud,76,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Upper Left Shroud,77,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Right Side Cover,81,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Left Side Cover,82,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Right Rear Fender,420,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Left Rear Fender,421,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
QuadSport Z400 2003-2007,,Left Rear Fender,421,Designer Added Icon 1,,534.7661869762367,337.4606199925364,19.500000000000064,-15,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,,Right Rear Fender,420,Designer Added Icon 1,,907.2548130237633,337.4606199925364,19.500000000000064,15,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 2003-2007,,Left Side Cover,82,Designer Added Icon 1,,688.4279069914267,-179.7261969058968,12,8,7,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,,Left Side Cover,82,User Number,,644.6252850519626,274.72600571604266,,10,8,White,,,,,,,,,,,,1,left,172,Bold Italic 11,1,,,,
QuadSport Z400 2003-2007,,Right Side Cover,81,Designer Added Icon 1,,445.76909300857324,-179.7261969058968,12,-8,7,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 2003-2007,,Right Side Cover,81,User Number,,489.5717149480373,274.72600571604266,,-10,8,White,,,,,,,,,,,,1,left,172,Bold Italic 11,1,,,,
QuadSport Z400 2003-2007,,Left Tank,272,Designer Added Icon 1,,410.9125106507931,594.3782605806704,10.537269031988398,32,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 2003-2007,,Left Tank,272,Designer Added Icon 2,,976.3226949864342,-51.8048072314908,2.837269031988381,51,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 2003-2007,,Right Tank,271,Designer Added Icon 1,,1061.8784893492068,594.3782605806704,10.537269031988398,-32,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,,Right Tank,271,Designer Added Icon 2,,496.4683050135658,-51.8048072314908,2.837269031988381,-51,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,,Left Front Fender,1184,Designer Added Icon 1,,332.0616052367282,486.4835,7.3641502056130514,-48,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 2003-2007,,Right Front Fender,1183,Designer Added Icon 1,,180.5243947632718,486.4835,7.3641502056130514,48,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,,Upper Left Shroud,77,Designer Added Icon 1,,522.1003190084109,356.7566286973369,10,0,6,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,,Upper Right Shroud,76,Designer Added Icon 1,,470.6926809915891,356.7566286973369,10,0,6,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,1,,
QuadSport Z400 2003-2007,,Front Hood,80,Designer Added Icon 1,,192.10114347096555,146.12212086495893,5.366473514220782,0,5,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuadSport Z400 2003-2007,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
