type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Quadmaster 50 2002,,Right Tank,1214,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadmaster 50 2002,,Left Tank,1215,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadmaster 50 2002,,Right Front Fender,1210,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadmaster 50 2002,,Left Front Fender,1211,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Quadmaster 50 2002,,Front Hood,1208,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadmaster 50 2002,,Right Rear Fender,1212,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadmaster 50 2002,,Left Rear Fender,1213,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadmaster 50 2002,,Left Rear Fender,1213,Designer Added Icon 1,,195.00034036221638,203.75724289358413,11.971047872600222,-8,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,,Right Rear Fender,1212,Designer Added Icon 1,,461.7696596377836,203.75724289358413,11.971047872600222,8,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
Quadmaster 50 2002,,Left Tank,1215,Designer Added Icon 1,,819.1755668776713,-52.6154832221466,11.0187875665063,14,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,,Left Tank,1215,User Number,,765.4657490639061,323.3532414742097,,13,6,White,,,,,,,,,,,,1,left,183,Bold Italic 11,1,,,,
Quadmaster 50 2002,,Right Tank,1214,Designer Added Icon 1,,772.7874331223287,-52.6154832221466,11.0187875665063,-14,5,Suzuki Yellow,6984,,,,,,,,,,,,,,,,,1,,
Quadmaster 50 2002,,Right Tank,1214,User Number,,826.4972509360939,323.3532414742097,,-13,6,White,,,,,,,,,,,,1,left,183,Bold Italic 11,1,,,,
Quadmaster 50 2002,,Left Front Fender,1211,Designer Added Icon 1,,234.1586712921919,306.8488398546321,5.3114861114866665,-40,6,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
Quadmaster 50 2002,,Right Front Fender,1210,Designer Added Icon 1,,182.4133287078081,306.8488398546321,5.3114861114866665,40,6,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,,Front Hood,1208,Designer Added Icon 1,,528.6803614434434,578.9714388792048,15.122015237469057,0,5,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadmaster 50 2002,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
