type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Quadrunner LT-F160 1999-2000,,Right Tank,1470,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Left Tank,1471,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Rear Fender,1480,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Right Front Fender,1472,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Left Front Fender,1473,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Rear Facing Right Front Fender,1474,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Rear Facing Left Front Fender,1475,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Front Hood,1479,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Right Side Cover,1476,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Right Rear Fender,1478,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Left Rear Fender,1477,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Left Rear Fender,1477,Designer Added Icon 1,,990.3893407322678,263.9027022996023,21.500000000000007,0,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Right Rear Fender,1478,Designer Added Icon 1,,985.0986592677323,263.9027022996023,21.500000000000007,0,5,Suzuki Yellow,8320,,,,,,,,,,,,,,,,,1,,
Quadrunner LT-F160 1999-2000,,Left Tank,1471,Designer Added Icon 1,,1055.3572714663005,661.0721696575457,16.586384882487245,1,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
Quadrunner LT-F160 1999-2000,,Left Tank,1471,Designer Added Icon 2,,1067.3855296116637,-469.5840960066149,3.586384882487138,19,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,1,,
Quadrunner LT-F160 1999-2000,,Right Tank,1470,Designer Added Icon 1,,1440.2737285336993,661.0721696575457,16.586384882487245,-1,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Right Tank,1470,Designer Added Icon 2,,1428.2454703883361,-469.5840960066149,3.586384882487138,-19,6,Suzuki Yellow,7310,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Rear Facing Left Front Fender,1475,Designer Added Icon 1,,247.87816116488028,392.2856376192658,5,0,3,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Rear Facing Right Front Fender,1474,Designer Added Icon 1,,249.05583883511974,392.2856376192658,5,0,3,Suzuki Yellow,8441,,,,,,,,,,,,,,,,,1,,
Quadrunner LT-F160 1999-2000,,Left Front Fender,1473,Designer Added Icon 1,,338.04242193820113,382.31502546334673,9.490641940731235,-27,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,1,,
Quadrunner LT-F160 1999-2000,,Right Front Fender,1472,Designer Added Icon 1,,338.44957806179883,382.31502546334673,9.490641940731235,27,5,Suzuki Yellow,6981,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,,Front Hood,1479,Designer Added Icon 1,,525.3900847923632,716.9448410846004,22.1,0,5,Suzuki Yellow,8313,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrunner LT-F160 1999-2000,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
