type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
ERAZER EVO 2011,,Right Tank,1592,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ERAZER EVO 2011,,Left Tank,1593,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ERAZER EVO 2011,,Rear Fender,1596,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
ERAZER EVO 2011,,Front Hood,1589,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ERAZER EVO 2011,,Lower Right Shroud,1594,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
ERAZER EVO 2011,,Lower Left Shroud,1595,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
ERAZER EVO 2011,,Right Side Cover,1590,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ERAZER EVO 2011,,Left Side Cover,1591,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
ERAZER EVO 2011,,Rear Fender,1596,Designer Added Icon 1,,998.6240499673434,434.146747624726,28.300000000000004,0,3,Orange,8314,,,,,,,,,,,,,,,,,,,
ERAZER EVO 2011,,Left Side Cover,1591,Designer Added Icon 1,,155.5479025249439,70.98974188717607,5,0,5,Orange,6984,,,,,,,,,,,,,,,,,,,
ERAZER EVO 2011,,Left Side Cover,1591,User Number,,214.95179609404892,163.80832558890265,,0,6,White,,,,,,,,,,,,1,left,72,Bold Italic 11,1,,,,
ERAZER EVO 2011,,Right Side Cover,1590,Designer Added Icon 1,,266.50309747505605,70.98974188717607,5,0,5,Orange,6984,,,,,,,,,,,,,,,,,1,,
ERAZER EVO 2011,,Right Side Cover,1590,User Number,,207.09920390595107,163.80832558890265,,0,6,White,,,,,,,,,,,,1,left,72,Bold Italic 11,1,,,,
ERAZER EVO 2011,,Left Tank,1593,Designer Added Icon 1,,861.5676634719555,508.68717215445344,12.636543330069182,13,5,Orange,6981,,,,,,,,,,,,,,,,,1,,
ERAZER EVO 2011,,Left Tank,1593,Designer Added Icon 2,,1202.688311245235,-464.9280100317814,3.4365433300691324,31,6,Orange,7310,,,,,,,,,,,,,,,,,1,,
ERAZER EVO 2011,,Right Tank,1592,Designer Added Icon 1,,1595.9203365280443,508.68717215445344,12.636543330069182,-13,5,Orange,6981,,,,,,,,,,,,,,,,,,,
ERAZER EVO 2011,,Right Tank,1592,Designer Added Icon 2,,1254.799688754765,-464.9280100317814,3.4365433300691324,-31,6,Orange,7310,,,,,,,,,,,,,,,,,,,
