type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Banshee 350 2011-2013,,Right Tank,1750,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Left Tank,1751,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Rear Fender,716,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Dashboard Cover,709,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Right Front Fender,719,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Left Front Fender,720,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Front Hood,463,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Right Side Cover,95,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Left Side Cover,96,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Right Rear Fender,468,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Left Rear Fender,469,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Banshee 350 2011-2013,,Left Rear Fender,469,Designer Added Icon 1,,590.8200345724788,136.65522946510433,12,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Banshee 350 2011-2013,,Right Rear Fender,468,Designer Added Icon 1,,597.6999654275212,136.65522946510433,12,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
