type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Blaster (White) 2000,,Right Tank,984,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Left Tank,985,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Right Front Fender,1498,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Left Front Fender,1499,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Front Hood,983,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Upper Right Shroud,981,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Upper Left Shroud,982,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Right Side Cover,979,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Left Side Cover,980,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Right Rear Fender,1496,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Left Rear Fender,1497,Background,,0,0,1,0,1,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2000,,Left Rear Fender,1497,Designer Added Icon 1,,611.0671797236677,169.54586067893948,13,0,2,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,,Right Rear Fender,1496,Designer Added Icon 1,,611.0658202763324,169.54586067893948,13,0,2,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2000,,Left Side Cover,980,Designer Added Icon 1,,334.0867493104643,4.833142346550052,5.05951095115708,-18,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,,Left Side Cover,980,User Number,,472.47346610244426,120.69178896309141,,-15,6,White,,,,,,,,,,,,1,left,108,Bold Italic 11,1,,,,
Blaster (White) 2000,,Right Side Cover,979,Designer Added Icon 1,,333.9892506895357,4.833142346550052,5.05951095115708,18,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2000,,Right Side Cover,979,User Number,,195.60253389755576,120.69178896309141,,15,6,White,,,,,,,,,,,,1,left,108,Bold Italic 11,1,,,,
Blaster (White) 2000,,Left Tank,985,Designer Added Icon 1,,238.6941620692209,380.8720973038092,8.323981824802335,24,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2000,,Left Tank,985,Designer Added Icon 2,,588.5248068269154,-136.04184047248577,1.9739818248023513,43,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2000,,Right Tank,984,Designer Added Icon 1,,736.836837930779,380.8720973038092,8.323981824802335,-24,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,,Right Tank,984,Designer Added Icon 2,,387.0061931730845,-136.04184047248577,1.9739818248023513,-43,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,,Left Front Fender,1499,Designer Added Icon 1,,311.6750838376489,381.3200127085745,6.7682005657184945,-34,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2000,,Right Front Fender,1498,Designer Added Icon 1,,226.85591616235104,381.3200127085745,6.7682005657184945,34,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,,Upper Left Shroud,982,Designer Added Icon 1,,469.8493884479011,359.03917923123356,8,0,6,Yamaha Blue,8441,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,,Upper Right Shroud,981,Designer Added Icon 1,,284.13461155209893,359.03917923123356,8,0,6,Yamaha Blue,8441,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2000,,Front Hood,983,Designer Added Icon 1,,415.0545000000001,163.7785,10.099999999999996,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2000,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
