type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Blaster (White) 2004-2006,,Right Tank,1517,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Left Tank,1518,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Right Front Fender,1505,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Left Front Fender,1506,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Front Hood,1504,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Upper Right Shroud,1502,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Upper Left Shroud,1503,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Right Side Cover,1507,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Left Side Cover,1508,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Right Rear Fender,1509,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Left Rear Fender,1510,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Under Right Front Fender,1511,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Under Left Front Fender,1512,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster (White) 2004-2006,,Left Rear Fender,1510,Designer Added Icon 1,,348.8270770165858,121.54347026440902,9,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,,Right Rear Fender,1509,Designer Added Icon 1,,458.17092298341424,121.54347026440902,9,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2004-2006,,Left Side Cover,1508,Designer Added Icon 1,,265.719845690195,23.24715379299508,4.200781357173269,-9,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,,Left Side Cover,1508,User Number,,363.7617253894431,121.8023417629199,,-7,6,White,,,,,,,,,,,,1,left,94,Bold Italic 11,1,,,,
Blaster (White) 2004-2006,,Right Side Cover,1507,Designer Added Icon 1,,267.171154309805,23.24715379299508,4.200781357173269,9,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2004-2006,,Right Side Cover,1507,User Number,,169.12927461055688,121.8023417629199,,7,6,White,,,,,,,,,,,,1,left,94,Bold Italic 11,1,,,,
Blaster (White) 2004-2006,,Left Tank,1518,Designer Added Icon 1,,212.23587893849833,367.79566233498934,8.212940852676478,25,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2004-2006,,Left Tank,1518,Designer Added Icon 2,,539.1008351483574,-95.5084197402463,1.762940852676497,44,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2004-2006,,Right Tank,1517,Designer Added Icon 1,,707.3751210615017,367.79566233498934,8.212940852676478,-25,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,,Right Tank,1517,Designer Added Icon 2,,380.51016485164257,-95.5084197402463,1.762940852676497,-44,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,,Left Front Fender,1506,Designer Added Icon 1,,278.89425060735795,355.25422319574096,6,0,5,Yamaha Blue,8441,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,,Right Front Fender,1505,Designer Added Icon 1,,278.89474939264204,355.25422319574096,6,0,5,Yamaha Blue,8441,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2004-2006,,Under Left Front Fender,1512,Designer Added Icon 1,,296.1131218157792,503.8352637166996,7.402212731803842,-46,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Blaster (White) 2004-2006,,Under Right Front Fender,1511,Designer Added Icon 1,,224.00587818422082,503.8352637166996,7.402212731803842,46,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,,Front Hood,1504,Designer Added Icon 1,,277.5615,587.4467759031493,12.14855051818806,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster (White) 2004-2006,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
