type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Blaster 1988,,Right Tank,984,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Left Tank,985,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Right Front Fender,1498,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Left Front Fender,1499,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Front Hood,983,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Upper Right Shroud,981,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Upper Left Shroud,982,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Right Side Cover,979,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Left Side Cover,980,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Right Rear Fender,1496,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Left Rear Fender,1497,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 1988,,Left Rear Fender,1497,Designer Added Icon 1,,578.0810798586205,162.4774107078579,13,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Blaster 1988,,Right Rear Fender,1496,Designer Added Icon 1,,644.0519201413796,162.4774107078579,13,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Blaster 1988,,Left Side Cover,980,Designer Added Icon 1,,334.0867493104643,4.833142346550052,5.159510951157079,-19,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Blaster 1988,,Left Side Cover,980,User Number,,459.60028314505075,120.69178896309141,,-16,6,White,,,,,,,,,,,,1,left,108,Bold Italic 11,1,,,,
Blaster 1988,,Right Side Cover,979,Designer Added Icon 1,,333.9892506895357,4.833142346550052,5.159510951157079,19,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Blaster 1988,,Right Side Cover,979,User Number,,208.47571685494927,120.69178896309141,,16,6,White,,,,,,,,,,,,1,left,108,Bold Italic 11,1,,,,
Blaster 1988,,Left Tank,985,Designer Added Icon 1,,202.14469172140207,396.53615602430295,9.523981824802352,22,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Blaster 1988,,Left Tank,985,Designer Added Icon 2,,536.3112777586028,-193.47672244762967,2.173981824802351,41,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Blaster 1988,,Right Tank,984,Designer Added Icon 1,,773.3863082785979,396.53615602430295,9.523981824802352,-22,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Blaster 1988,,Right Tank,984,Designer Added Icon 2,,439.2197222413971,-193.47672244762967,2.173981824802351,-41,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Blaster 1988,,Left Front Fender,1499,Designer Added Icon 1,,299.5591108624216,363.1460532457335,7.3182005657184925,-51,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Blaster 1988,,Right Front Fender,1498,Designer Added Icon 1,,238.97188913757833,363.1460532457335,7.3182005657184925,51,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Blaster 1988,,Upper Left Shroud,982,Designer Added Icon 1,,451.76865277353295,378.69215279032943,8,0,6,Yamaha Blue,8441,,,,,,,,,,,,,,,,,,,
Blaster 1988,,Upper Right Shroud,981,Designer Added Icon 1,,302.2153472264671,378.69215279032943,8,0,6,Yamaha Blue,8441,,,,,,,,,,,,,,,,,1,,
Blaster 1988,,Front Hood,983,Designer Added Icon 1,,415.0545000000001,163.7785,9.983799999999997,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 1988,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
