type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Blaster 2003-2006,,Right Tank,1517,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Left Tank,1518,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Right Front Fender,1505,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Left Front Fender,1506,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Front Hood,1504,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Upper Right Shroud,1502,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Upper Left Shroud,1503,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Right Side Cover,1507,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Left Side Cover,1508,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Right Rear Fender,1509,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Left Rear Fender,1510,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Under Right Front Fender,1511,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Under Left Front Fender,1512,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Blaster 2003-2006,,Left Rear Fender,1510,Designer Added Icon 1,,342.2000689258359,109.94620610559677,9,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,,Right Rear Fender,1509,Designer Added Icon 1,,464.7979310741641,109.94620610559677,9,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Blaster 2003-2006,,Left Side Cover,1508,Designer Added Icon 1,,265.719845690195,7.847905672694327,4.450781357173268,-8,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,,Left Side Cover,1508,User Number,,355.548793058616,133.6084319884838,,-5,6,White,,,,,,,,,,,,1,left,104,Bold Italic 11,1,,,,
Blaster 2003-2006,,Right Side Cover,1507,Designer Added Icon 1,,267.171154309805,7.847905672694327,4.450781357173268,8,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Blaster 2003-2006,,Right Side Cover,1507,User Number,,177.34220694138395,133.6084319884838,,5,6,White,,,,,,,,,,,,1,left,104,Bold Italic 11,1,,,,
Blaster 2003-2006,,Left Tank,1518,Designer Added Icon 1,,205.36484382297579,322.64314586155535,7.562940852676477,24,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Blaster 2003-2006,,Left Tank,1518,Designer Added Icon 2,,548.916599599104,-232.92912205069754,2.212940852676496,43,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Blaster 2003-2006,,Right Tank,1517,Designer Added Icon 1,,714.2461561770242,322.64314586155535,7.562940852676477,-24,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,,Right Tank,1517,Designer Added Icon 2,,370.69440040089603,-232.92912205069754,2.212940852676496,-43,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,,Left Front Fender,1506,Designer Added Icon 1,,278.89425060735795,355.25422319574096,6,0,5,Yamaha Blue,8441,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,,Right Front Fender,1505,Designer Added Icon 1,,278.89474939264204,355.25422319574096,6,0,5,Yamaha Blue,8441,,,,,,,,,,,,,,,,,1,,
Blaster 2003-2006,,Under Left Front Fender,1512,Designer Added Icon 1,,304.5171171448309,545.8552403619577,8.052212731803841,-46,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Blaster 2003-2006,,Under Right Front Fender,1511,Designer Added Icon 1,,215.60188285516915,545.8552403619577,8.052212731803841,46,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,,Front Hood,1504,Designer Added Icon 1,,277.5615,587.4467759031493,12.506995253980138,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster 2003-2006,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
