type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Grizzly 550 FI EPS LE 2012-2013,,Right Front Fender,91,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,,Left Front Fender,92,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,,Right Side Cover,87,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,,Left Side Cover,88,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,,Right Rear Fender,89,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,,Left Rear Fender,90,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,,Left Rear Fender,90,Designer Added Icon 1,,597.0543184063699,232.5773273218204,20,0,4,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,,Right Rear Fender,89,Designer Added Icon 1,,1335.1446815936301,232.5773273218204,20,0,4,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Grizzly 550 FI EPS LE 2012-2013,,Left Side Cover,88,Designer Added Icon 1,,1024.2541138869678,317.9090544203502,13.093559312457286,25,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,,Left Side Cover,88,User Number,,1099.1769264651646,701.8884688836082,,24,6,White,,,,,,,,,,,,1,left,291,Bold Italic 11,1,,,,
Grizzly 550 FI EPS LE 2012-2013,,Right Side Cover,87,Designer Added Icon 1,,649.317886113032,317.9090544203502,13.093559312457286,-25,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Grizzly 550 FI EPS LE 2012-2013,,Right Side Cover,87,User Number,,574.3950735348353,701.8884688836082,,-24,6,White,,,,,,,,,,,,1,left,291,Bold Italic 11,1,,,,
Grizzly 550 FI EPS LE 2012-2013,,Left Front Fender,92,Designer Added Icon 1,,953.5249466603462,233.16797940381747,10.899817484790917,16,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Grizzly 550 FI EPS LE 2012-2013,,Right Front Fender,91,Designer Added Icon 1,,953.6200533396537,233.16797940381747,10.899817484790917,-16,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Left Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Left Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Left Rear Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Left Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Left Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly 550 FI EPS LE 2012-2013,X,Right Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
