type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Right Front Fender,1654,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Left Front Fender,1655,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Front Hood,1653,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Right Rear Fender,1656,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Left Rear Fender,1657,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Left Rear Fender,1657,Designer Added Icon 1,,1209.7156930292117,289.58794355232413,28,0,3,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Right Rear Fender,1656,Designer Added Icon 1,,1517.7823069707883,289.58794355232413,28,0,3,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Left Front Fender,1655,Designer Added Icon 1,,885.1046304546986,681.9582531540428,15.03521330850805,0,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Right Front Fender,1654,Designer Added Icon 1,,884.3583695453013,681.9582531540428,15.03521330850805,0,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,,Front Hood,1653,Designer Added Icon 1,,1510.0351808068765,657.354370462828,43.049999999999386,0,4,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Rear Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Rear Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Right Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO 450 Auto. 4x4 Special Edition 2007-2008,X,Left Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
