type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 125 (White) 2011-2013,,Right Tank,235,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 (White) 2011-2013,,Left Tank,236,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 (White) 2011-2013,,Right Front Fender,107,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 (White) 2011-2013,,Left Front Fender,108,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 (White) 2011-2013,,Right Side Cover,111,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 (White) 2011-2013,,Left Side Cover,112,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 (White) 2011-2013,,Right Rear Fender,113,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 (White) 2011-2013,,Left Rear Fender,114,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 (White) 2011-2013,,Left Rear Fender,114,Designer Added Icon 1,,673.4696928741976,179.63018272076172,15,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 125 (White) 2011-2013,,Right Rear Fender,113,Designer Added Icon 1,,775.5223071258024,179.63018272076172,15,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 125 (White) 2011-2013,,Left Side Cover,112,Designer Added Icon 1,,261.7361973253675,-59.91463909458427,4.704864965400315,-10,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 125 (White) 2011-2013,,Left Side Cover,112,User Number,,367.4798410500639,96.18312068949133,,-9,6,White,,,,,,,,,,,,1,left,95,Bold Italic 11,1,,,,
Raptor 125 (White) 2011-2013,,Right Side Cover,111,Designer Added Icon 1,,484.3248026746325,-59.91463909458427,4.704864965400315,10,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 125 (White) 2011-2013,,Right Side Cover,111,User Number,,378.58115894993614,96.18312068949133,,9,6,White,,,,,,,,,,,,1,left,95,Bold Italic 11,1,,,,
Raptor 125 (White) 2011-2013,,Left Tank,236,Designer Added Icon 1,,455.8880135398956,425.54398071087735,9.683589246841999,14,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
