type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 125 2009-2010,,Right Tank,1814,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Left Tank,1809,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Rear Fender,1810,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Top Tank,1820,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Right Front Fender,1819,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Left Front Fender,1816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Rear Facing Right Front Fender,1807,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Rear Facing Left Front Fender,1815,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Front Hood,1804,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Right Side Cover,1817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Left Side Cover,1806,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Right Rear Fender,1808,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Left Rear Fender,1812,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 125 2009-2010,,Left Rear Fender,1812,Designer Added Icon 1,,652.9843317650301,349.15329254849297,21,-8,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,,Right Rear Fender,1808,Designer Added Icon 1,,1394.7036682349699,349.15329254849297,21,8,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 125 2009-2010,,Left Side Cover,1806,Designer Added Icon 1,,545.3170334065126,-365.7600765091632,13,-19,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,,Left Side Cover,1806,User Number,,613.8094133949452,177.5354122126414,,-17,6,White,,,,,,,,,,,,1,left,147,Bold Italic 11,1,,,,
Raptor 125 2009-2010,,Right Side Cover,1817,Designer Added Icon 1,,658.8809665934875,-365.7600765091632,13,19,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 125 2009-2010,,Right Side Cover,1817,User Number,,590.3885866050549,177.5354122126414,,17,6,White,,,,,,,,,,,,1,left,147,Bold Italic 11,1,,,,
Raptor 125 2009-2010,,Left Tank,1809,Designer Added Icon 1,,385.03716024775593,398.05292129251904,10.503666928155939,26,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 125 2009-2010,,Left Tank,1809,Designer Added Icon 2,,829.7042433401022,-265.7486595827461,2.603666928155921,44,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 125 2009-2010,,Right Tank,1814,Designer Added Icon 1,,1274.306839752244,398.05292129251904,10.503666928155939,-26,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,,Right Tank,1814,Designer Added Icon 2,,829.6397566598979,-265.7486595827461,2.603666928155921,-44,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,,Left Front Fender,1816,Designer Added Icon 1,,360.20467692917435,452.19555874118606,7,51,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,,Right Front Fender,1819,Designer Added Icon 1,,254.5963230708257,452.19555874118606,7,-51,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 125 2009-2010,,Front Hood,1804,Designer Added Icon 1,,382.38536643480535,481.76158258023287,10.846264909579228,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 125 2009-2010,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
