type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"Raptor 250 (White) 2009-2011,2013",,Right Tank,235,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Left Tank,236,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Right Front Fender,107,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Left Front Fender,108,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Front Hood,483,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Right Side Cover,111,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Left Side Cover,112,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Right Rear Fender,113,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Left Rear Fender,114,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Left Rear Fender,114,Designer Added Icon 1,,710.9076367724047,200.42904044198787,15,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Right Rear Fender,113,Designer Added Icon 1,,738.0843632275953,200.42904044198787,15,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
"Raptor 250 (White) 2009-2011,2013",,Left Side Cover,112,Designer Added Icon 1,,259.57816377996556,-90.84645324534578,5.304864965400313,-10,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Left Side Cover,112,User Number,,374.67328620140376,96.18312068949133,,-9,6,White,,,,,,,,,,,,1,left,95,Bold Italic 11,1,,,,
"Raptor 250 (White) 2009-2011,2013",,Right Side Cover,111,Designer Added Icon 1,,486.48283622003447,-90.84645324534578,5.304864965400313,10,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
"Raptor 250 (White) 2009-2011,2013",,Right Side Cover,111,User Number,,371.3877137985963,96.18312068949133,,9,6,White,,,,,,,,,,,,1,left,95,Bold Italic 11,1,,,,
"Raptor 250 (White) 2009-2011,2013",,Left Tank,236,Designer Added Icon 1,,405.6226809777209,372.3218638803395,9.283589246841993,17,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
"Raptor 250 (White) 2009-2011,2013",,Left Tank,236,Designer Added Icon 2,,767.8287538522148,-396.44204589409674,2.8835892468419932,36,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
"Raptor 250 (White) 2009-2011,2013",,Right Tank,235,Designer Added Icon 1,,1128.1663190222791,372.3218638803395,9.283589246841993,-17,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Right Tank,235,Designer Added Icon 2,,765.9602461477851,-396.44204589409674,2.8835892468419932,-36,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
"Raptor 250 (White) 2009-2011,2013",,Left Front Fender,108,Designer Added Icon 1,,326.7715,551.7365,7.911004771148266,-40,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
"Raptor 250 (White) 2009-2011,2013",,Right Front Fender,107,Designer Added Icon 1,,326.84549999999996,551.7365,7.911004771148266,40,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
