type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 250 (White) 2012,,Right Tank,235,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 (White) 2012,,Left Tank,236,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 (White) 2012,,Right Front Fender,107,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 (White) 2012,,Left Front Fender,108,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 (White) 2012,,Front Hood,483,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 (White) 2012,,Right Side Cover,111,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 (White) 2012,,Left Side Cover,112,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 (White) 2012,,Right Rear Fender,113,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 (White) 2012,,Left Rear Fender,114,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 (White) 2012,,Left Rear Fender,114,Designer Added Icon 1,,719.2271798608951,199.04244992723946,15,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,,Right Rear Fender,113,Designer Added Icon 1,,729.7648201391048,199.04244992723946,15,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 250 (White) 2012,,Left Side Cover,112,Designer Added Icon 1,,255.9814412042956,-65.66939521565618,4.804864965400315,-10,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,,Left Side Cover,112,User Number,,371.07656362573385,96.18312068949133,,-9,6,White,,,,,,,,,,,,1,left,95,Bold Italic 11,1,,,,
Raptor 250 (White) 2012,,Right Side Cover,111,Designer Added Icon 1,,490.07955879570443,-65.66939521565618,4.804864965400315,10,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 250 (White) 2012,,Right Side Cover,111,User Number,,374.9844363742662,96.18312068949133,,9,6,White,,,,,,,,,,,,1,left,95,Bold Italic 11,1,,,,
Raptor 250 (White) 2012,,Left Tank,236,Designer Added Icon 1,,479.54228768680133,416.67362790578767,11.033589246842018,16,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 250 (White) 2012,,Left Tank,236,Designer Added Icon 2,,878.7081639158355,-462.9696919322691,3.283589246841992,35,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 250 (White) 2012,,Right Tank,235,Designer Added Icon 1,,1054.2467123131987,416.67362790578767,11.033589246842018,-16,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,,Right Tank,235,Designer Added Icon 2,,655.0808360841645,-462.9696919322691,3.283589246841992,-35,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,,Left Front Fender,108,Designer Added Icon 1,,326.7715,551.7365,7.211004771148269,-39,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 250 (White) 2012,,Right Front Fender,107,Designer Added Icon 1,,326.84549999999996,551.7365,7.211004771148269,39,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,,Front Hood,483,Designer Added Icon 1,,395.61126917362606,327.6679064019487,12.474503252403219,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 (White) 2012,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
