type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 250 2013,,Right Tank,235,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 2013,,Left Tank,236,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 2013,,Right Front Fender,107,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 2013,,Left Front Fender,108,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 2013,,Front Hood,483,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 2013,,Right Side Cover,111,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 2013,,Left Side Cover,112,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 2013,,Right Rear Fender,113,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 2013,,Left Rear Fender,114,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 250 2013,,Left Rear Fender,114,Designer Added Icon 1,,648.5110636087262,175.4704111765165,15,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,,Right Rear Fender,113,Designer Added Icon 1,,800.4809363912738,175.4704111765165,15,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 250 2013,,Left Side Cover,112,Designer Added Icon 1,,245.19127347728576,-62.07267263998623,4.804864965400315,-10,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,,Left Side Cover,112,User Number,,371.07656362573385,96.18312068949133,,-9,6,White,,,,,,,,,,,,1,left,95,Bold Italic 11,1,,,,
Raptor 250 2013,,Right Side Cover,111,Designer Added Icon 1,,500.86972652271425,-62.07267263998623,4.804864965400315,10,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 250 2013,,Right Side Cover,111,User Number,,374.9844363742662,96.18312068949133,,9,6,White,,,,,,,,,,,,1,left,95,Bold Italic 11,1,,,,
Raptor 250 2013,,Left Tank,236,Designer Added Icon 1,,447.01766073480593,480.2444896755968,12.283589246842036,9,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 250 2013,,Left Tank,236,Designer Added Icon 2,,745.6528718394908,-337.30636052683235,2.733589246841994,28,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 250 2013,,Right Tank,235,Designer Added Icon 1,,1086.771339265194,480.2444896755968,12.283589246842036,-9,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,,Right Tank,235,Designer Added Icon 2,,788.1361281605092,-337.30636052683235,2.733589246841994,-28,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,,Left Front Fender,108,Designer Added Icon 1,,372.7917268746351,496.51222775043783,8.26100477114827,-40,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 250 2013,,Right Front Fender,107,Designer Added Icon 1,,280.82527312536484,496.51222775043783,8.26100477114827,40,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,,Front Hood,483,Designer Added Icon 1,,395.61126917362606,327.6679064019487,12.091040804153979,0,6,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 250 2013,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
