type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 660R (Black) 2003,,Right Tank,1005,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (Black) 2003,,Left Tank,1006,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (Black) 2003,,Right Front Fender,991,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (Black) 2003,,Left Front Fender,992,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (Black) 2003,,Front Hood,990,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (Black) 2003,,Right Side Cover,988,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (Black) 2003,,Left Side Cover,989,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (Black) 2003,,Right Rear Fender,1489,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (Black) 2003,,Left Rear Fender,1490,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (Black) 2003,,Left Rear Fender,1490,Designer Added Icon 1,,827.5101727809589,207.17889763847433,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,,Right Rear Fender,1489,Designer Added Icon 1,,1216.1638272190412,207.17889763847433,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 660R (Black) 2003,,Left Side Cover,989,Designer Added Icon 1,,665.4571971271445,-9.609067791866796,8.27132825380068,19,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,,Left Side Cover,989,User Number,,876.7334647192016,286.17770683701315,,1,6,White,,,,,,,,,,,,1,left,184,Bold Italic 11,1,,,,
Raptor 660R (Black) 2003,,Right Side Cover,988,Designer Added Icon 1,,1089.8438028728556,-9.609067791866796,8.27132825380068,-19,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 660R (Black) 2003,,Right Side Cover,988,User Number,,878.5675352807983,286.17770683701315,,-1,6,White,,,,,,,,,,,,1,left,184,Bold Italic 11,1,,,,
Raptor 660R (Black) 2003,,Left Tank,1006,Designer Added Icon 1,,721.3534849624058,498.8127976016904,11.069516757295334,18,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 660R (Black) 2003,,Left Tank,1006,Designer Added Icon 2,,1111.0747400231346,-308.466945024105,2.969516757295308,37,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 660R (Black) 2003,,Right Tank,1005,Designer Added Icon 1,,1204.8655150375944,498.8127976016904,11.069516757295334,-18,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,,Right Tank,1005,Designer Added Icon 2,,815.1442599768654,-308.466945024105,2.969516757295308,-37,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,,Left Front Fender,992,Designer Added Icon 1,,251.95549596814146,506.48435777393496,7.662511494514172,-54,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 660R (Black) 2003,,Right Front Fender,991,Designer Added Icon 1,,141.33150403185851,506.48435777393496,7.662511494514172,54,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,,Front Hood,990,Designer Added Icon 1,,352.49054994914025,263.8892126072939,10.400000000000032,0,6,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (Black) 2003,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
