type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 660R (White) 2005,,Right Tank,1005,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (White) 2005,,Left Tank,1006,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (White) 2005,,Right Front Fender,991,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (White) 2005,,Left Front Fender,992,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (White) 2005,,Front Hood,990,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (White) 2005,,Right Side Cover,988,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (White) 2005,,Left Side Cover,989,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (White) 2005,,Right Rear Fender,1489,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (White) 2005,,Left Rear Fender,1490,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R (White) 2005,,Left Rear Fender,1490,Designer Added Icon 1,,849.534433432588,235.2097748314568,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,,Right Rear Fender,1489,Designer Added Icon 1,,1194.139566567412,235.2097748314568,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 660R (White) 2005,,Left Side Cover,989,Designer Added Icon 1,,842.9292619044725,-111.0216762360542,11.371328253800725,17,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,,Left Side Cover,989,User Number,,876.7334647192016,277.7266561333309,,-3,6,White,,,,,,,,,,,,1,left,184,Bold Italic 11,1,,,,
Raptor 660R (White) 2005,,Right Side Cover,988,Designer Added Icon 1,,912.3717380955275,-111.0216762360542,11.371328253800725,-17,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 660R (White) 2005,,Right Side Cover,988,User Number,,878.5675352807983,277.7266561333309,,3,6,White,,,,,,,,,,,,1,left,184,Bold Italic 11,1,,,,
Raptor 660R (White) 2005,,Left Tank,1006,Designer Added Icon 1,,730.6325624638516,480.25464259879857,9.469516757295311,16,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 660R (White) 2005,,Left Tank,1006,Designer Added Icon 2,,1092.5165850202427,-299.1878675226591,2.919516757295308,35,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 660R (White) 2005,,Right Tank,1005,Designer Added Icon 1,,1195.5864375361484,480.25464259879857,9.469516757295311,-16,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,,Right Tank,1005,Designer Added Icon 2,,833.7024149797574,-299.1878675226591,2.919516757295308,-35,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,,Left Front Fender,992,Designer Added Icon 1,,233.51939621002987,552.574607169214,7.462511494514173,-53,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 660R (White) 2005,,Right Front Fender,991,Designer Added Icon 1,,159.7676037899701,552.574607169214,7.462511494514173,53,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,,Front Hood,990,Designer Added Icon 1,,352.49054994914025,263.8892126072939,9.100000000000016,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 660R (White) 2005,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
