type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 660R Limited Edition 2003,,Right Tank,1005,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Limited Edition 2003,,Left Tank,1006,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Limited Edition 2003,,Right Front Fender,991,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Limited Edition 2003,,Left Front Fender,992,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Limited Edition 2003,,Front Hood,990,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Limited Edition 2003,,Right Side Cover,988,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Limited Edition 2003,,Left Side Cover,989,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Limited Edition 2003,,Right Rear Fender,1489,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Limited Edition 2003,,Left Rear Fender,1490,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Limited Edition 2003,,Left Rear Fender,1490,Designer Added Icon 1,,803.4837066155454,271.2494740795771,21,0,6,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 660R Limited Edition 2003,,Right Rear Fender,1489,Designer Added Icon 1,,1240.1902933844544,271.2494740795771,21,0,6,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 660R Limited Edition 2003,,Left Side Cover,989,Designer Added Icon 1,,682.3592985345091,-68.76642271764278,9.6213282538007,15,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 660R Limited Edition 2003,,Left Side Cover,989,User Number,,876.7334647192016,277.7266561333309,,-2,6,White,,,,,,,,,,,,1,left,184,Bold Italic 11,1,,,,
Raptor 660R Limited Edition 2003,,Right Side Cover,988,Designer Added Icon 1,,1072.941701465491,-68.76642271764278,9.6213282538007,-15,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 660R Limited Edition 2003,,Right Side Cover,988,User Number,,878.5675352807983,277.7266561333309,,2,6,White,,,,,,,,,,,,1,left,184,Bold Italic 11,1,,,,
