type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 660R Sports Camo Special Edition 2005,,Right Tank,1005,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Left Tank,1006,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Right Front Fender,991,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Left Front Fender,992,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Front Hood,990,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Right Side Cover,988,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Left Side Cover,989,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Right Rear Fender,1489,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Left Rear Fender,1490,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Left Rear Fender,1490,Designer Added Icon 1,,937.6314760391043,279.25829613471495,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Right Rear Fender,1489,Designer Added Icon 1,,1106.0425239608958,279.25829613471495,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 660R Sports Camo Special Edition 2005,,Left Side Cover,989,Designer Added Icon 1,,684.0495086752455,-56.93495173248759,9.771328253800702,17,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Left Side Cover,989,User Number,,868.2824140155193,286.17770683701315,,-2,6,White,,,,,,,,,,,,1,left,204,Bold Italic 11,1,,,,
Raptor 660R Sports Camo Special Edition 2005,,Right Side Cover,988,Designer Added Icon 1,,1071.2514913247544,-56.93495173248759,9.771328253800702,-17,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 660R Sports Camo Special Edition 2005,,Right Side Cover,988,User Number,,887.0185859844806,286.17770683701315,,2,6,White,,,,,,,,,,,,1,left,204,Bold Italic 11,1,,,,
Raptor 660R Sports Camo Special Edition 2005,,Left Tank,1006,Designer Added Icon 1,,526.4928574320413,489.53372010024447,12.769516757295332,19,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 660R Sports Camo Special Edition 2005,,Left Tank,1006,Designer Added Icon 2,,1083.2375075187967,-494.0484950530235,3.819516757295305,38,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 660R Sports Camo Special Edition 2005,,Right Tank,1005,Designer Added Icon 1,,1399.7261425679587,489.53372010024447,12.769516757295332,-19,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Right Tank,1005,Designer Added Icon 2,,842.9814924812033,-494.0484950530235,3.819516757295305,-38,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Left Front Fender,992,Designer Added Icon 1,,261.17354584719726,552.574607169214,7.2625114945141735,-57,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 660R Sports Camo Special Edition 2005,,Right Front Fender,991,Designer Added Icon 1,,132.11345415280272,552.574607169214,7.2625114945141735,57,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,,Front Hood,990,Designer Added Icon 1,,352.49054994914025,263.8892126072939,9.098018669868411,0,6,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Raptor 660R Sports Camo Special Edition 2005,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
