type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 700R (White) 2009-2010,,Right Tank,128,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Left Tank,129,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Rear Fender,494,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Right Front Fender,1784,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Left Front Fender,1778,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Rear Facing Right Front Fender,496,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Rear Facing Left Front Fender,495,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Front Hood,132,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Right Frame,1783,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Left Frame,1777,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Right Side Cover,1786,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Left Side Cover,1780,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Right Rear Fender,1759,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Left Rear Fender,1758,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R (White) 2009-2010,,Left Rear Fender,1758,Designer Added Icon 1,,1024.4881106337807,305.0354010917814,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,,Right Rear Fender,1759,Designer Added Icon 1,,1191.5948893662194,305.0354010917814,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 700R (White) 2009-2010,,Rear Fender,494,Designer Added Icon 1,,420.34800000000007,305.0527647469252,12.436959745425195,0,4,Yamaha Blue,8314,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,,Left Side Cover,1780,Designer Added Icon 1,,414.91606840203235,-137.77486521707885,8.415587325453734,-13,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,,Left Side Cover,1780,User Number,,616.4697024872454,133.28002200096626,,-12,6,White,,,,,,,,,,,,1,left,164,Bold Italic 11,1,,,,
Raptor 700R (White) 2009-2010,,Right Side Cover,1786,Designer Added Icon 1,,1029.2969315979676,-137.77486521707885,8.415587325453734,13,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 700R (White) 2009-2010,,Right Side Cover,1786,User Number,,827.7432975127546,133.28002200096626,,12,6,White,,,,,,,,,,,,1,left,164,Bold Italic 11,1,,,,
Raptor 700R (White) 2009-2010,,Left Tank,129,Designer Added Icon 1,,753.435465982433,429.8068118747868,10.963405305823002,32,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 700R (White) 2009-2010,,Left Tank,129,Designer Added Icon 2,,1327.1168425006517,-225.8290470031775,2.8634053058229774,51,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 700R (White) 2009-2010,,Right Tank,128,Designer Added Icon 1,,1132.304534017567,429.8068118747868,10.963405305823002,-32,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,,Right Tank,128,Designer Added Icon 2,,558.6231574993483,-225.8290470031775,2.8634053058229774,-51,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,,Left Front Fender,1778,Designer Added Icon 1,,834.5930306144406,579.4836136419418,11.519986719714533,0,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 700R (White) 2009-2010,,Right Front Fender,1784,Designer Added Icon 1,,839.2609693855594,579.4836136419418,11.519986719714533,0,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R (White) 2009-2010,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
