type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 700R 2009-2011,,Right Tank,128,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Left Tank,129,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Rear Fender,494,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Right Front Fender,1784,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Left Front Fender,1778,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Rear Facing Right Front Fender,496,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Rear Facing Left Front Fender,495,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Front Hood,132,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Right Frame,1783,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Left Frame,1777,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Right Side Cover,1786,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Left Side Cover,1780,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Right Rear Fender,1759,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Left Rear Fender,1758,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2009-2011,,Left Rear Fender,1758,Designer Added Icon 1,,805.7364564984424,296.4569048511799,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,,Right Rear Fender,1759,Designer Added Icon 1,,1410.3465435015578,296.4569048511799,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2009-2011,,Rear Fender,494,Designer Added Icon 1,,420.34800000000007,305.0527647469252,12.600000000000051,0,3,Yamaha Blue,8314,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,,Left Side Cover,1780,Designer Added Icon 1,,451.05672003110504,-235.07661960304378,10.26558732545376,-13,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,,Left Side Cover,1780,User Number,,672.0707049935111,119.37977137439985,,-11,6,White,,,,,,,,,,,,1,left,174,Bold Italic 11,1,,,,
Raptor 700R 2009-2011,,Right Side Cover,1786,Designer Added Icon 1,,993.156279968895,-235.07661960304378,10.26558732545376,13,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2009-2011,,Right Side Cover,1786,User Number,,772.1422950064889,119.37977137439985,,11,6,White,,,,,,,,,,,,1,left,174,Bold Italic 11,1,,,,
Raptor 700R 2009-2011,,Left Tank,129,Designer Added Icon 1,,826.2838947466513,438.91286547031405,9.763405305822985,33,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2009-2011,,Left Tank,129,Designer Added Icon 2,,1472.8137000290883,-316.8895829584503,3.513405305822975,52,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2009-2011,,Right Tank,128,Designer Added Icon 1,,1059.4561052533486,438.91286547031405,9.763405305822985,-33,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,,Right Tank,128,Designer Added Icon 2,,412.9262999709117,-316.8895829584503,3.513405305822975,-52,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,,Left Front Fender,1778,Designer Added Icon 1,,834.5930306144406,579.4836136419418,12.01998671971454,1,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2009-2011,,Right Front Fender,1784,Designer Added Icon 1,,839.2609693855594,579.4836136419418,12.01998671971454,-1,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,,Rear Facing Left Front Fender,495,Designer Added Icon 1,,244.2330115681089,408.4919089426216,5,0,3,Yamaha Blue,8441,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,,Rear Facing Right Front Fender,496,Designer Added Icon 1,,387.96198843189114,408.4919089426216,5,0,3,Yamaha Blue,8441,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2009-2011,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R 2009-2011,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
