type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 700R 2012,,Right Tank,128,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Left Tank,129,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Rear Fender,494,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Right Front Fender,1784,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Left Front Fender,1778,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Rear Facing Right Front Fender,496,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Rear Facing Left Front Fender,495,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Front Hood,132,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Right Frame,1783,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Left Frame,1777,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Right Side Cover,1786,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Left Side Cover,1780,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Right Rear Fender,1759,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Left Rear Fender,1758,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R 2012,,Left Rear Fender,1758,Designer Added Icon 1,,569.827809881901,275.01066424967615,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 700R 2012,,Right Rear Fender,1759,Designer Added Icon 1,,1646.255190118099,275.01066424967615,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2012,,Rear Fender,494,Designer Added Icon 1,,420.34800000000007,305.0527647469252,12.600000000000051,0,3,Yamaha Blue,8314,,,,,,,,,,,,,,,,,,,
Raptor 700R 2012,,Left Side Cover,1780,Designer Added Icon 1,,519.1679481012804,-242.02674491632698,9.665587325453751,-15,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 700R 2012,,Left Side Cover,1780,User Number,,658.1704543669447,112.42964606111664,,-14,6,White,,,,,,,,,,,,1,left,164,Bold Italic 11,1,,,,
Raptor 700R 2012,,Right Side Cover,1786,Designer Added Icon 1,,925.0450518987195,-242.02674491632698,9.665587325453751,15,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2012,,Right Side Cover,1786,User Number,,786.0425456330553,112.42964606111664,,14,6,White,,,,,,,,,,,,1,left,164,Bold Italic 11,1,,,,
Raptor 700R 2012,,Left Tank,129,Designer Added Icon 1,,635.0567692405783,468.0522369760014,15.06340530582306,30,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2012,,Left Tank,129,Designer Added Icon 2,,1345.3289496917064,-378.8107474080358,3.513405305822975,49,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2012,,Right Tank,128,Designer Added Icon 1,,1250.6832307594218,468.0522369760014,15.06340530582306,-30,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 700R 2012,,Right Tank,128,Designer Added Icon 2,,540.4110503082936,-378.8107474080358,3.513405305822975,-49,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 700R 2012,,Left Front Fender,1778,Designer Added Icon 1,,834.5930306144406,579.4836136419418,12.219986719714543,0,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2012,,Right Front Fender,1784,Designer Added Icon 1,,839.2609693855594,579.4836136419418,12.219986719714543,0,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 700R 2012,,Rear Facing Left Front Fender,495,Designer Added Icon 1,,244.2330115681089,408.4919089426216,5,0,3,Yamaha Blue,8441,,,,,,,,,,,,,,,,,,,
Raptor 700R 2012,,Rear Facing Right Front Fender,496,Designer Added Icon 1,,387.96198843189114,408.4919089426216,5,0,3,Yamaha Blue,8441,,,,,,,,,,,,,,,,,1,,
Raptor 700R 2012,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R 2012,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
