type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 700R SE 2011-2012,,Right Tank,128,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Left Tank,129,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Rear Fender,494,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Right Front Fender,1784,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Left Front Fender,1778,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Rear Facing Right Front Fender,496,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Rear Facing Left Front Fender,495,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Front Hood,132,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Right Frame,1783,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Left Frame,1777,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Right Side Cover,1786,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Left Side Cover,1780,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Right Rear Fender,1759,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Left Rear Fender,1758,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2011-2012,,Left Rear Fender,1758,Designer Added Icon 1,,855.062809881901,305.0354010917814,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,,Right Rear Fender,1759,Designer Added Icon 1,,1361.020190118099,305.0354010917814,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 700R SE 2011-2012,,Rear Fender,494,Designer Added Icon 1,,420.34800000000007,305.0527647469252,13.014920904673225,0,3,Yamaha Blue,8314,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,,Left Side Cover,1780,Designer Added Icon 1,,428.8163190285988,-89.1239880240964,7.36558732545373,-12,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,,Left Side Cover,1780,User Number,,679.0208303067943,119.37977137439985,,-11,6,White,,,,,,,,,,,,1,left,164,Bold Italic 11,1,,,,
Raptor 700R SE 2011-2012,,Right Side Cover,1786,Designer Added Icon 1,,1015.3966809714011,-89.1239880240964,7.36558732545373,12,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 700R SE 2011-2012,,Right Side Cover,1786,User Number,,765.1921696932056,119.37977137439985,,11,6,White,,,,,,,,,,,,1,left,164,Bold Italic 11,1,,,,
Raptor 700R SE 2011-2012,,Left Tank,129,Designer Added Icon 1,,780.7536267690149,429.8068118747868,11.713405305823013,27,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 700R SE 2011-2012,,Left Tank,129,Designer Added Icon 2,,1356.256214006339,-300.49868648650124,3.0134053058229773,46,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 700R SE 2011-2012,,Right Tank,128,Designer Added Icon 1,,1104.986373230985,429.8068118747868,11.713405305823013,-27,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,,Right Tank,128,Designer Added Icon 2,,529.4837859936611,-300.49868648650124,3.0134053058229773,-46,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,,Left Front Fender,1778,Designer Added Icon 1,,834.5930306144406,579.4836136419418,12.169986719714542,4,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 700R SE 2011-2012,,Right Front Fender,1784,Designer Added Icon 1,,839.2609693855594,579.4836136419418,12.169986719714542,-4,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2011-2012,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
