type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Raptor 700R SE 2015,,Right Tank,1763,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Left Tank,1762,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Rear Fender,494,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Right Front Fender,1761,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Left Front Fender,1760,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Front Hood,1765,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Lower Right Shroud,1774,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Lower Left Shroud,1773,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Right Side Cover,1786,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Left Side Cover,1780,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Right Rear Fender,1759,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Left Rear Fender,1758,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Raptor 700R SE 2015,,Left Rear Fender,1758,Designer Added Icon 1,,855.062809881901,302.89077703163105,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2015,,Right Rear Fender,1759,Designer Added Icon 1,,1361.020190118099,302.89077703163105,23,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Raptor 700R SE 2015,,Rear Fender,494,Designer Added Icon 1,,420.34800000000007,305.0527647469252,12.650000000000052,0,3,Yamaha Blue,8314,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2015,,Left Side Cover,1780,Designer Added Icon 1,,442.7165696551652,-130.82473990379566,8.21558732545373,-12,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2015,,Left Side Cover,1780,User Number,,679.0208303067943,112.42964606111664,,-10,6,White,,,,,,,,,,,,1,left,174,Bold Italic 11,1,,,,
Raptor 700R SE 2015,,Right Side Cover,1786,Designer Added Icon 1,,1001.4964303448348,-130.82473990379566,8.21558732545373,12,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Raptor 700R SE 2015,,Right Side Cover,1786,User Number,,765.1921696932056,112.42964606111664,,10,6,White,,,,,,,,,,,,1,left,174,Bold Italic 11,1,,,,
Raptor 700R SE 2015,,Left Tank,1762,Designer Added Icon 1,,689.5267692625696,427.94825553287956,8.80094952411812,39,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Raptor 700R SE 2015,,Left Tank,1762,Designer Added Icon 2,,1398.535888213794,-229.1821473975233,3.450949524118124,57,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Raptor 700R SE 2015,,Right Tank,1763,Designer Added Icon 1,,1120.7992307374304,427.94825553287956,8.80094952411812,-39,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2015,,Right Tank,1763,Designer Added Icon 2,,411.7901117862061,-229.1821473975233,3.450949524118124,-57,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Raptor 700R SE 2015,,Left Front Fender,1760,Designer Added Icon 1,,229.29082942385574,791.7466880059036,8.951753735708527,-52,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
