type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Warrior 1994,,Right Tank,1019,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Left Tank,1020,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Right Front Fender,1565,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Left Front Fender,1566,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Lower Right Shroud,1011,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Lower Left Shroud,1012,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Right Side Cover,1015,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Left Side Cover,1016,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Right Rear Fender,1563,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Left Rear Fender,1564,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Warrior 1994,,Left Rear Fender,1564,Designer Added Icon 1,,663.4641975692746,219.91465037593989,16,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Warrior 1994,,Right Rear Fender,1563,Designer Added Icon 1,,918.9398024307254,219.91465037593989,16,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Warrior 1994,,Left Side Cover,1016,Designer Added Icon 1,,344.8755581601611,-96.1893293043652,5.167950155732254,12,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Warrior 1994,,Left Side Cover,1016,User Number,,429.3284933828332,100.86751954853631,,13,6,White,,,,,,,,,,,,1,left,113,Bold Italic 11,1,,,,
Warrior 1994,,Right Side Cover,1015,Designer Added Icon 1,,491.44844183983884,-96.1893293043652,5.167950155732254,-12,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Warrior 1994,,Right Side Cover,1015,User Number,,406.99550661716677,100.86751954853631,,-13,6,White,,,,,,,,,,,,1,left,113,Bold Italic 11,1,,,,
Warrior 1994,,Left Tank,1020,Designer Added Icon 1,,342.75927912391865,249.75251013290034,5.937215058232916,15,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Warrior 1994,,Left Tank,1020,Designer Added Icon 2,,564.506951188696,-229.94653555825073,1.7872150582329303,34,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Warrior 1994,,Right Tank,1019,Designer Added Icon 1,,595.9727208760813,249.75251013290034,5.937215058232916,-15,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Warrior 1994,,Right Tank,1019,Designer Added Icon 2,,374.22504881130396,-229.94653555825073,1.7872150582329303,-34,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Warrior 1994,,Lower Left Shroud,1012,Designer Added Icon 1,,922.6189218266629,629.0831308621931,13.5,0,3,Yamaha Blue,8441,,,,,,,,,,,,,,,,,,,
Warrior 1994,,Lower Right Shroud,1011,Designer Added Icon 1,,747.443078173337,629.0831308621931,13.5,0,3,Yamaha Blue,8441,,,,,,,,,,,,,,,,,1,,
Warrior 1994,,Left Front Fender,1566,Designer Added Icon 1,,279.57999425080845,548.9848817355013,9.125084116505457,-48,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Warrior 1994,,Right Front Fender,1565,Designer Added Icon 1,,273.6430057491915,548.9848817355013,9.125084116505457,48,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior 1994,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
