type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Wolverine 2003-2005,,Right Tank,1240,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 2003-2005,,Left Tank,1241,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 2003-2005,,Right Front Fender,1247,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 2003-2005,,Left Front Fender,1248,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 2003-2005,,Front Hood,1246,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 2003-2005,,Right Side Cover,1242,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 2003-2005,,Left Side Cover,1243,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 2003-2005,,Right Rear Fender,1244,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 2003-2005,,Left Rear Fender,1245,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 2003-2005,,Left Rear Fender,1245,Designer Added Icon 1,,159.53809592126115,52.94553699224289,4,0,4,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,,Right Rear Fender,1244,Designer Added Icon 1,,228.55790407873886,52.94553699224289,4,0,4,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Wolverine 2003-2005,,Left Side Cover,1243,Designer Added Icon 1,,350.2455663163544,85.84670344798158,4.28372066865307,41,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,,Left Side Cover,1243,User Number,,377.6249140517786,222.7434421251023,,42,6,White,,,,,,,,,,,,1,left,108,Bold Italic 11,1,,,,
Wolverine 2003-2005,,Right Side Cover,1242,Designer Added Icon 1,,232.00243368364562,85.84670344798158,4.28372066865307,-41,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Wolverine 2003-2005,,Right Side Cover,1242,User Number,,204.62308594822144,222.7434421251023,,-42,6,White,,,,,,,,,,,,1,left,108,Bold Italic 11,1,,,,
Wolverine 2003-2005,,Left Tank,1241,Designer Added Icon 1,,1025.3297335418185,472.71115584784076,11.732367769762368,18,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Wolverine 2003-2005,,Left Tank,1241,Designer Added Icon 2,,1450.326330804205,-337.7474714897338,2.982367769762333,37,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Wolverine 2003-2005,,Right Tank,1240,Designer Added Icon 1,,1025.7992664581814,472.71115584784076,11.732367769762368,-18,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,,Right Tank,1240,Designer Added Icon 2,,600.8026691957948,-337.7474714897338,2.982367769762333,-37,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,,Left Front Fender,1248,Designer Added Icon 1,,254.63883175152935,558.3400617280479,7.671502528112594,-41,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Wolverine 2003-2005,,Right Front Fender,1247,Designer Added Icon 1,,145.58216824847065,558.3400617280479,7.671502528112594,41,3,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,,Front Hood,1246,Designer Added Icon 1,,570.6797056986828,442.48610305917424,15.003288983329178,0,4,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 2003-2005,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
