type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Wolverine 450 4x4 2006-2009,,Right Tank,1545,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Left Tank,1546,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Right Front Fender,1534,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Left Front Fender,1535,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Front Hood,1536,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Right Side Cover,1541,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Left Side Cover,1542,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Right Rear Fender,1537,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Left Rear Fender,1538,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Left Rear Fender,1538,Designer Added Icon 1,,1035.9765292974262,233.35693863452522,22,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Right Rear Fender,1537,Designer Added Icon 1,,1107.068470702574,233.35693863452522,22,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2006-2009,,Left Side Cover,1542,Designer Added Icon 1,,433.14288490890357,135.96436870656186,5.128408094573669,41,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Left Side Cover,1542,User Number,,512.4116722619015,269.73044736474577,,15,6,White,,,,,,,,,,,,1,left,149,Bold Italic 11,1,,,,
Wolverine 450 4x4 2006-2009,,Right Side Cover,1541,Designer Added Icon 1,,595.1991150910965,135.96436870656186,5.128408094573669,-41,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2006-2009,,Right Side Cover,1541,User Number,,515.9303277380986,269.73044736474577,,-15,6,White,,,,,,,,,,,,1,left,149,Bold Italic 11,1,,,,
Wolverine 450 4x4 2006-2009,,Left Tank,1546,Designer Added Icon 1,,760.5789098783373,486.7918679633615,10.235764301405341,30,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2006-2009,,Left Tank,1546,Designer Added Icon 2,,1307.0167506340727,-146.57926563987738,2.7357643014053274,49,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2006-2009,,Right Tank,1545,Designer Added Icon 1,,1080.6240901216627,486.7918679633615,10.235764301405341,-30,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Right Tank,1545,Designer Added Icon 2,,534.1862493659273,-146.57926563987738,2.7357643014053274,-49,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Left Front Fender,1535,Designer Added Icon 1,,469.49603057874145,741.7322411373553,13.944073770061442,-41,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2006-2009,,Right Front Fender,1534,Designer Added Icon 1,,471.4339694212585,741.7322411373553,13.944073770061442,41,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,,Front Hood,1536,Designer Added Icon 1,,390.445323294269,409.21160246802157,12.600000000000065,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2006-2009,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
