type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Wolverine 450 4x4 2010,,Right Tank,1545,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2010,,Left Tank,1546,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2010,,Right Front Fender,1534,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2010,,Left Front Fender,1535,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2010,,Front Hood,1536,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2010,,Right Side Cover,1541,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2010,,Left Side Cover,1542,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2010,,Right Rear Fender,1537,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2010,,Left Rear Fender,1538,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Wolverine 450 4x4 2010,,Left Rear Fender,1538,Designer Added Icon 1,,975.1249185397627,283.71689236500526,22,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,,Right Rear Fender,1537,Designer Added Icon 1,,1167.9200814602373,283.71689236500526,22,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2010,,Left Side Cover,1542,Designer Added Icon 1,,398.462790441967,140.91866791612424,4.82840809457367,48,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,,Left Side Cover,1542,User Number,,492.59447542365194,284.5933449934329,,25,6,White,,,,,,,,,,,,1,left,149,Bold Italic 11,1,,,,
Wolverine 450 4x4 2010,,Right Side Cover,1541,Designer Added Icon 1,,629.8792095580332,140.91866791612424,4.82840809457367,-48,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2010,,Right Side Cover,1541,User Number,,535.7475245763482,284.5933449934329,,-25,6,White,,,,,,,,,,,,1,left,149,Bold Italic 11,1,,,,
Wolverine 450 4x4 2010,,Left Tank,1546,Designer Added Icon 1,,716.2251890377743,451.3088912909111,10.83576430140535,28,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2010,,Left Tank,1546,Designer Added Icon 2,,1186.3746299477416,-151.90171214074493,2.3857643014053287,47,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2010,,Right Tank,1545,Designer Added Icon 1,,1124.9778109622257,451.3088912909111,10.83576430140535,-28,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,,Right Tank,1545,Designer Added Icon 2,,654.8283700522584,-151.90171214074493,2.3857643014053287,-47,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,,Left Front Fender,1535,Designer Added Icon 1,,494.2431320884588,580.8760813241934,11.194073770061403,-40,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
Wolverine 450 4x4 2010,,Right Front Fender,1534,Designer Added Icon 1,,446.6868679115411,580.8760813241934,11.194073770061403,40,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,,Front Hood,1536,Designer Added Icon 1,,390.445323294269,409.21160246802157,12.998973447547412,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine 450 4x4 2010,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
