type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YFZ450 (White) 2013,,Right Tank,551,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Left Tank,552,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Rear Fender,1701,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Front Tow Bar,513,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Right Front Fender,555,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Left Front Fender,556,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Front Hood,1697,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Lower Right Shroud,549,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Lower Left Shroud,550,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Right Side Cover,553,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Left Side Cover,554,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Right Rear Fender,547,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Left Rear Fender,548,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Rear Plate,149,Background,,0,0,1,0,3,Black,,Black,,,,15,,,,1,0,,,,,,,,,
YFZ450 (White) 2013,,Rear Plate,149,Designer Added Icon 1,,271.2954933906789,354.5639630744104,7.849710271331173,0,4,Yamaha Blue,8314,,,,,,,,,,,,,,,,,,,
YFZ450 (White) 2013,,Left Rear Fender,548,Designer Added Icon 1,,953.9583539112231,270.68715484465787,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
YFZ450 (White) 2013,,Right Rear Fender,547,Designer Added Icon 1,,1047.404646088777,270.68715484465787,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
YFZ450 (White) 2013,,Left Side Cover,554,Designer Added Icon 1,,335.60543380511047,75.49664256461897,5.593913064762849,-12,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
YFZ450 (White) 2013,,Left Side Cover,554,User Number,,550.0470667335856,216.41542991761688,,-10,6,White,,,,,,,,,,,,1,left,141,Bold Italic 11,1,,,,
YFZ450 (White) 2013,,Right Side Cover,553,Designer Added Icon 1,,935.6045661948896,75.49664256461897,5.593913064762849,12,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
