type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YFZ450 2012-2013,,Right Tank,551,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Left Tank,552,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Rear Fender,1701,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Front Tow Bar,513,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Right Front Fender,555,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Left Front Fender,556,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Front Hood,1697,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Lower Right Shroud,549,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Lower Left Shroud,550,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Right Side Cover,553,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Left Side Cover,554,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Right Rear Fender,547,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Left Rear Fender,548,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Rear Plate,149,Background,,0,0,1,0,3,Black,,Black,,,,15,,,,1,0,,,,,,,,,
YFZ450 2012-2013,,Rear Plate,149,Designer Added Icon 1,,271.2954933906789,354.5639630744104,8.15969868218442,0,4,Yamaha Blue,8314,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,,Left Rear Fender,548,Designer Added Icon 1,,841.8870795715277,268.75489149397345,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,,Right Rear Fender,547,Designer Added Icon 1,,1159.4759204284724,268.75489149397345,21,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
YFZ450 2012-2013,,Left Side Cover,554,Designer Added Icon 1,,297.61863025778064,13.002223825463377,7.1439130647628435,-18,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,,Left Side Cover,554,User Number,,477.7496019176997,236.02152207107744,,-17,6,White,,,,,,,,,,,,1,left,141,Bold Italic 11,1,,,,
YFZ450 2012-2013,,Right Side Cover,553,Designer Added Icon 1,,973.5913697422194,13.002223825463377,7.1439130647628435,18,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,1,,
YFZ450 2012-2013,,Right Side Cover,553,User Number,,793.4603980823003,236.02152207107744,,17,6,White,,,,,,,,,,,,1,left,141,Bold Italic 11,1,,,,
YFZ450 2012-2013,,Left Tank,552,Designer Added Icon 1,,338.48590601503753,290.1196047205034,6.908491177302669,6,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
YFZ450 2012-2013,,Left Tank,552,Designer Added Icon 2,,489.47891642567953,-334.0640997329379,2.208491177302686,25,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,1,,
YFZ450 2012-2013,,Right Tank,551,Designer Added Icon 1,,894.9030939849624,290.1196047205034,6.908491177302669,-6,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,,Right Tank,551,Designer Added Icon 2,,743.9100835743204,-334.0640997329379,2.208491177302686,-25,6,Yamaha Blue,7310,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,,Lower Left Shroud,550,Designer Added Icon 1,,1012.1814658762289,615.7458366188625,23,0,3,Yamaha Blue,8441,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,,Lower Right Shroud,549,Designer Added Icon 1,,1204.489534123771,615.7458366188625,23,0,3,Yamaha Blue,8441,,,,,,,,,,,,,,,,,1,,
YFZ450 2012-2013,,Left Front Fender,556,Designer Added Icon 1,,331.3920254382409,504.0429281841689,7.785821289900171,-41,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,1,,
YFZ450 2012-2013,,Right Front Fender,555,Designer Added Icon 1,,280.07097456175904,504.0429281841689,7.785821289900171,41,5,Yamaha Blue,6981,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,,Front Hood,1697,Designer Added Icon 1,,425.2696189109163,714.1146906117485,16.200000000000102,0,5,Yamaha Blue,8313,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFZ450 2012-2013,X,Rear Plate,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
