type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YFZ450R (White) 2013,,Right Tank,139,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Left Tank,140,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Rear Fender,1821,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Right Front Fender,498,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Left Front Fender,499,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Front Hood,497,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Lower Right Shroud,141,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Lower Left Shroud,142,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Right Frame,504,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Left Frame,505,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Right Side Cover,143,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Left Side Cover,144,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Right Rear Fender,510,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Left Rear Fender,511,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R (White) 2013,,Left Rear Fender,511,Designer Added Icon 1,,733.1151462605202,218.17551754385977,17,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
YFZ450R (White) 2013,,Right Rear Fender,510,Designer Added Icon 1,,946.7848537394799,218.17551754385977,17,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
YFZ450R (White) 2013,,Rear Fender,1821,Designer Added Icon 1,,307.09,155.99765281923231,8.659216577187838,0,3,Yamaha Blue,8314,,,,,,,,,,,,,,,,,,,
YFZ450R (White) 2013,,Left Side Cover,144,Designer Added Icon 1,,734.288205580748,97.28089776257433,8.709638483395072,21,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
YFZ450R (White) 2013,,Left Side Cover,144,User Number,,937.9526166083169,285.2788156341764,,19,6,White,,,,,,,,,,,,1,left,195,Bold Italic 11,1,,,,
