type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YFZ450R 2011,,Right Tank,139,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Left Tank,140,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Rear Fender,1821,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Right Front Fender,498,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Left Front Fender,499,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Front Hood,497,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Lower Right Shroud,141,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Lower Left Shroud,142,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Right Frame,504,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Left Frame,505,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Right Side Cover,143,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Left Side Cover,144,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Right Rear Fender,510,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Left Rear Fender,511,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
YFZ450R 2011,,Left Rear Fender,511,Designer Added Icon 1,,796.2707101702947,226.27238471177955,17,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,,,
YFZ450R 2011,,Right Rear Fender,510,Designer Added Icon 1,,883.6292898297054,226.27238471177955,17,0,5,Yamaha Blue,8320,,,,,,,,,,,,,,,,,1,,
YFZ450R 2011,,Rear Fender,1821,Designer Added Icon 1,,307.09,155.99765281923231,9.141328649886367,0,3,Yamaha Blue,8314,,,,,,,,,,,,,,,,,,,
YFZ450R 2011,,Left Side Cover,144,Designer Added Icon 1,,621.4894548577868,-12.38455432919356,10.9,0,5,Yamaha Blue,6984,,,,,,,,,,,,,,,,,,,
YFZ450R 2011,,Left Side Cover,144,User Number,,964.5856549734606,222.61284301030906,,0,6,White,,,,,,,,,,,,1,left,205,Bold Italic 11,1,,,,
