type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Cruiser,,Right Side Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Cruiser,,Right Side Plate,*,Corporate Logo,,0.457,0.227,1.2,0,9,,,,,,,,,,,,,,,,,,,
Cruiser,,Right Side Plate,*,User Name,,0.511,0.829,,0,7,Black,,,,,,,,,,1,left,65,Bold 02,1,,,,
Cruiser,,Right Side Plate,*,User Number,,0.513,0.461,,0,4,Black,,,,,,,,,,1,left,195,Bold 01,1,,,,
Cruiser,,Right Side Plate,*,User Flag,,0.734,0.188,1,0,5,,,,,,,,,,,,,,,,,,,
Cruiser,,Right Side Plate,*,Target Name,,0.447,0.133,,0,8,Black,,,,,,,,,,1,left,55,Bold 02,1,,,,
Cruiser,,Right Side Plate,*,Target Logo,,0.5,0.935,1,0,10,,,,,,,,,,,,,,,,,,,
Cruiser,,Left Side Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Cruiser,,Right Side Plate,*,User Letter,,0.863,0.534,,0,11,Black,,,,,,,,,,1,left,89,Bold 01,1,,,,
Cruiser,,Right Side Plate,*,Class Logo,,0.85,0.315,0.8,0,12,,,,,,,,,,,,,,,,,,,
Cruiser,,Right Side Plate,*,Governing Body Logo,,0.194,0.311,0.8,0,13,,,,,,,,,,,,,,,,,,,
Cruiser,,Right Side Plate,*,Regulatory Body Logo,,0.196,0.722,1,0,14,,,,,,,,,,,,,,,,,,,
Cruiser,,Right Side Plate,*,Governing Body Logo 2,,0.811,0.727,1,0,15,,,,,,,,,,,,,,,,,,,
Cruiser,,Right Side Plate,*,Series Sponsor,,0.506,0.726,1,0,16,,,,,,,,,,,,,,,,,,,
Cruiser,,Right Side Plate,*,User State,,0.876,0.437,,0,17,Black,,,,,,,,,,1,left,59,Bold 01,1,,,,
Cruiser,,Left Side Plate,*,Corporate Logo,,0.543,0.227,1.2,0,9,,,,,,,,,,,,,,,,,,,
Cruiser,,Left Side Plate,*,User Name,,0.489,0.829,,0,7,Black,,,,,,,,,,1,left,65,Bold 02,1,,,,
Cruiser,,Left Side Plate,*,User Number,,0.487,0.461,,0,4,Black,,,,,,,,,,1,left,195,Bold 01,1,,,,
Cruiser,,Left Side Plate,*,User Flag,,0.266,0.188,1,0,5,,,,,,,,,,,,,,,,,,,
Cruiser,,Left Side Plate,*,Target Name,,0.553,0.133,,0,8,Black,,,,,,,,,,1,left,55,Bold 02,1,,,,
Cruiser,,Left Side Plate,*,Target Logo,,0.5,0.935,1,0,10,,,,,,,,,,,,,,,,,,,
Cruiser,,Left Side Plate,*,User Letter,,0.837,0.541,,0,11,Black,,,,,,,,,,1,left,89,Bold 01,1,,,,
Cruiser,,Left Side Plate,*,Class Logo,,0.15,0.315,0.8,0,12,,,,,,,,,,,,,,,,,,,
Cruiser,,Left Side Plate,*,Governing Body Logo,,0.806,0.311,0.8,0,13,,,,,,,,,,,,,,,,,,,
Cruiser,,Left Side Plate,*,Regulatory Body Logo,,0.804,0.722,1,0,14,,,,,,,,,,,,,,,,,,,
Cruiser,,Left Side Plate,*,Governing Body Logo 2,,0.189,0.727,1,0,15,,,,,,,,,,,,,,,,,,,
Cruiser,,Left Side Plate,*,User State,,0.863,0.433,,0,16,Black,,,,,,,,,,1,left,70,Bold 01,1,,,,
Cruiser,,Left Side Plate,*,Series Sponsor,,0.5,0.731,1,0,17,,,,,,,,,,,,,,,,,,,
