type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Faired Sports Bike,,Right Side Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Left Side Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Right Side Plate,*,User Number,,0.496,0.433,,0,3,Black,,,,,,,,,,1,left,237,Bold 01,1,,,,
Faired Sports Bike,,Right Side Plate,*,User Letter,,0.882,0.436,,0,4,Black,,,,,,,,,,1,left,71,Bold 01,1,,,,
Faired Sports Bike,,Right Side Plate,*,User State,,0.902,0.544,,0,5,Black,,,,,,,,,,1,left,60,Bold 01,1,,,,
Faired Sports Bike,,Right Side Plate,*,Corporate Logo,,0.418,0.161,1,0,6,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Right Side Plate,*,Governing Body Logo,,0.193,0.272,0.6000000000000001,0,7,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Right Side Plate,*,User Flag,,0.636,0.126,1,0,8,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Right Side Plate,*,Class Logo,,0.827,0.289,0.6000000000000001,0,9,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Right Side Plate,*,Target Name,,0.419,0.088,,0,10,Black,,,,,,,,,,1,left,28,Bold 01,1,,,,
Faired Sports Bike,,Right Side Plate,*,User Name,,0.506,0.684,,0,11,Black,,,,,,,,,,1,left,48,Bold 01,1,,,,
Faired Sports Bike,,Right Side Plate,*,Regulatory Body Logo,,0.825,0.693,0.6000000000000001,0,12,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Right Side Plate,*,Governing Body Logo 2,,0.186,0.689,0.6000000000000001,0,13,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Right Side Plate,*,Series Sponsor,,0.493,0.848,1,0,14,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Right Side Plate,*,Target Logo,,0.499,0.273,1,0,15,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Left Side Plate,*,User Number,,0.504,0.433,,0,3,Black,,,,,,,,,,1,left,237,Bold 01,1,,,,
Faired Sports Bike,,Left Side Plate,*,User Letter,,0.118,0.436,,0,4,Black,,,,,,,,,,1,left,71,Bold 01,1,,,,
Faired Sports Bike,,Left Side Plate,*,User State,,0.098,0.544,,0,5,Black,,,,,,,,,,1,left,60,Bold 01,1,,,,
Faired Sports Bike,,Left Side Plate,*,Corporate Logo,,0.582,0.161,1,0,6,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Left Side Plate,*,Governing Body Logo,,0.807,0.272,0.6000000000000001,0,7,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Left Side Plate,*,User Flag,,0.364,0.126,1,0,8,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Left Side Plate,*,Class Logo,,0.173,0.289,0.6000000000000001,0,9,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Left Side Plate,*,Target Name,,0.581,0.088,,0,10,Black,,,,,,,,,,1,left,28,Bold 01,1,,,,
Faired Sports Bike,,Left Side Plate,*,User Name,,0.494,0.684,,0,11,Black,,,,,,,,,,1,left,48,Bold 01,1,,,,
Faired Sports Bike,,Left Side Plate,*,Regulatory Body Logo,,0.175,0.693,0.6000000000000001,0,12,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Left Side Plate,*,Governing Body Logo 2,,0.814,0.689,0.6000000000000001,0,13,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Left Side Plate,*,Series Sponsor,,0.507,0.848,1,0,14,,,,,,,,,,,,,,,,,,,
Faired Sports Bike,,Left Side Plate,*,Target Logo,,0.501,0.273,1,0,15,,,,,,,,,,,,,,,,,,,
