type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Naked Bike,,Front Number Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Naked Bike,,Right Side Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Naked Bike,,Left Side Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Naked Bike,,Front Number Plate,*,User Number,,0.495,0.391,,0,3,Black,,,,,,,,,,1,left,288,Bold Italic 02,1,,,,
Naked Bike,,Front Number Plate,*,User Letter,,0.906,0.495,,0,4,Black,,,,,,,,,,1,left,63,Bold 01,1,,,,
Naked Bike,,Front Number Plate,*,User State,,0.902,0.603,,0,5,Black,,,,,,,,,,1,left,62,Bold 01,1,,,,
Naked Bike,,Front Number Plate,*,Target Logo,,0.26,0.084,0.7000000000000001,0,6,,,,,,,,,,,,,,,,,,,
Naked Bike,,Front Number Plate,*,Series Sponsor,,0.518,0.767,1,0,7,,,,,,,,,,,,,,,,,,,
Naked Bike,,Front Number Plate,*,Regulatory Body Logo,,0.178,0.848,0.7000000000000001,0,8,,,,,,,,,,,,,,,,,,,
Naked Bike,,Front Number Plate,*,Governing Body Logo 2,,0.865,0.835,0.7000000000000001,0,9,,,,,,,,,,,,,,,,,,,
Naked Bike,,Front Number Plate,*,Class Logo,,0.924,0.239,0.6000000000000001,0,10,,,,,,,,,,,,,,,,,,,
Naked Bike,,Front Number Plate,*,User Flag,,0.758,0.074,0.7000000000000001,0,11,,,,,,,,,,,,,,,,,,,
Naked Bike,,Front Number Plate,*,Corporate Logo,,0.51,0.087,1,0,12,,,,,,,,,,,,,,,,,,,
Naked Bike,,Front Number Plate,*,Governing Body Logo,,0.078,0.248,0.6000000000000001,0,13,,,,,,,,,,,,,,,,,,,
Naked Bike,,Front Number Plate,*,User Name,,0.519,0.867,,0,14,Black,,,,,,,,,,1,left,35,Bold 01,1,,,,
Naked Bike,,Front Number Plate,*,Target Name,,0.513,0.198,,0,15,Black,,,,,,,,,,1,left,40,Bold 01,1,,,,
Naked Bike,,Right Side Plate,*,User Flag,,0.722,0.119,1,0,3,,,,,,,,,,,,,,,,,,,
Naked Bike,,Right Side Plate,*,Corporate Logo,,0.504,0.126,1,0,4,,,,,,,,,,,,,,,,,,,
Naked Bike,,Right Side Plate,*,Governing Body Logo,,0.144,0.255,0.5000000000000001,0,5,,,,,,,,,,,,,,,,,,,
Naked Bike,,Right Side Plate,*,Class Logo,,0.849,0.251,0.5000000000000001,0,6,,,,,,,,,,,,,,,,,,,
Naked Bike,,Right Side Plate,*,Regulatory Body Logo,,0.24,0.822,0.7000000000000001,0,7,,,,,,,,,,,,,,,,,,,
Naked Bike,,Right Side Plate,*,Governing Body Logo 2,,0.78,0.822,0.7000000000000001,0,8,,,,,,,,,,,,,,,,,,,
Naked Bike,,Right Side Plate,*,Target Logo,,0.289,0.137,1,0,9,,,,,,,,,,,,,,,,,,,
Naked Bike,,Right Side Plate,*,Series Sponsor,,0.51,0.72,1,0,10,,,,,,,,,,,,,,,,,,,
Naked Bike,,Right Side Plate,*,User Number,,0.496,0.431,,0,11,Black,,,,,,,,,,1,left,269,Bold Italic 02,1,,,,
Naked Bike,,Right Side Plate,*,User Letter,,0.876,0.501,,0,12,Black,,,,,,,,,,1,left,60,Bold 01,1,,,,
Naked Bike,,Right Side Plate,*,User State,,0.875,0.587,,0,13,Black,,,,,,,,,,1,left,60,Bold 01,1,,,,
Naked Bike,,Right Side Plate,*,User Name,,0.512,0.818,,0,14,Black,,,,,,,,,,1,left,40,Bold 01,1,,,,
Naked Bike,,Right Side Plate,*,Target Name,,0.5,0.259,,0,15,Black,,,,,,,,,,1,left,39,Bold 01,1,,,,
Naked Bike,,Left Side Plate,*,User Flag,,0.278,0.119,1,0,3,,,,,,,,,,,,,,,,,,,
Naked Bike,,Left Side Plate,*,Corporate Logo,,0.496,0.126,1,0,4,,,,,,,,,,,,,,,,,,,
Naked Bike,,Left Side Plate,*,Governing Body Logo,,0.856,0.255,0.5000000000000001,0,5,,,,,,,,,,,,,,,,,,,
Naked Bike,,Left Side Plate,*,Class Logo,,0.151,0.251,0.5000000000000001,0,6,,,,,,,,,,,,,,,,,,,
Naked Bike,,Left Side Plate,*,Regulatory Body Logo,,0.76,0.822,0.7000000000000001,0,7,,,,,,,,,,,,,,,,,,,
Naked Bike,,Left Side Plate,*,Governing Body Logo 2,,0.22,0.822,0.7000000000000001,0,8,,,,,,,,,,,,,,,,,,,
Naked Bike,,Left Side Plate,*,Target Logo,,0.711,0.137,1,0,9,,,,,,,,,,,,,,,,,,,
Naked Bike,,Left Side Plate,*,Series Sponsor,,0.49,0.72,1,0,10,,,,,,,,,,,,,,,,,,,
Naked Bike,,Left Side Plate,*,User Number,,0.504,0.431,,0,11,Black,,,,,,,,,,1,left,269,Bold Italic 02,1,,,,
Naked Bike,,Left Side Plate,*,User Letter,,0.124,0.501,,0,12,Black,,,,,,,,,,1,left,60,Bold 01,1,,,,
Naked Bike,,Left Side Plate,*,User State,,0.125,0.587,,0,13,Black,,,,,,,,,,1,left,60,Bold 01,1,,,,
Naked Bike,,Left Side Plate,*,User Name,,0.488,0.818,,0,14,Black,,,,,,,,,,1,left,40,Bold 01,1,,,,
Naked Bike,,Left Side Plate,*,Target Name,,0.5,0.259,,0,15,Black,,,,,,,,,,1,left,39,Bold 01,1,,,,
