type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Road Sidecar,,Front Number Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,Corporate Logo,,0.51,0.933,2.25,0,9,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,User Name,,0.282,0.08,,0,6,Black,,,,,,,,,,1,left,45,Bold Italic 04,1,,,,
Road Sidecar,,Front Number Plate,*,User Number,,0.505,0.495,,0,4,Black,,Red,,,,7,,,,1,left,372,Bold Italic 01,1,,,,
Road Sidecar,,Front Number Plate,*,User Flag,,0.777,0.089,1,0,7,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,Target Name,,0.329,0.204,,0,10,Black,,,,,,,,,,1,left,42,Bold Italic 04,1,,,,
Road Sidecar,,Front Number Plate,*,Target Logo,,0.793,0.262,1.2,0,5,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,Designer Added Icon 1,,0.502,-0.379,6.4,0,3,Red,7505,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,Corporate Logo,,0.506,0.936,2.25,0,9,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,User Name,,0.282,0.086,,0,6,Black,,,,,,,,,,1,left,45,Bold Italic 04,1,,,,
Road Sidecar,,Right Side Plate,*,User Number,,0.497,0.494,,0,4,Black,,Red,,,,7,,,,1,left,372,Bold Italic 01,1,,,,
Road Sidecar,,Right Side Plate,*,User Flag,,0.783,0.082,1,0,7,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,Target Name,,0.341,0.2,,0,10,Black,,,,,,,,,,1,left,42,Bold Italic 04,1,,,,
Road Sidecar,,Right Side Plate,*,Target Logo,,0.787,0.257,1.2,0,5,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,Designer Added Icon 1,,0.502,-0.38,6.4,0,3,Red,7505,,,,,,,,,,,,,,,,,
Road Sidecar,,Left Side Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,Regulatory Body Logo,,0.23,0.935,0.7000000000000001,0,11,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,Governing Body Logo 2,,0.79,0.935,0.7000000000000001,0,12,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,Series Sponsor,,0.507,0.846,1,0,13,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,User Letter,,0.921,0.637,,0,14,Black,,,,,,,,,,1,left,75,Bold 01,1,,,,
Road Sidecar,,Right Side Plate,*,User State,,0.918,0.736,,0,15,Black,,,,,,,,,,1,left,75,Bold 01,1,,,,
Road Sidecar,,Right Side Plate,*,Governing Body Logo,,0.073,0.25,0.6000000000000001,0,16,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Right Side Plate,*,Class Logo,,0.927,0.251,0.6000000000000001,0,17,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Left Side Plate,*,Corporate Logo,,0.494,0.936,2.25,0,9,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Left Side Plate,*,User Name,,0.718,0.086,,0,6,Black,,,,,,,,,,1,left,45,Bold Italic 04,1,,,,
Road Sidecar,,Left Side Plate,*,User Number,,0.503,0.494,,0,4,Black,,Red,,,,7,,,,1,left,372,Bold Italic 01,1,,,,
Road Sidecar,,Left Side Plate,*,User Flag,,0.217,0.082,1,0,7,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Left Side Plate,*,Target Name,,0.659,0.2,,0,10,Black,,,,,,,,,,1,left,42,Bold Italic 04,1,,,,
Road Sidecar,,Left Side Plate,*,Target Logo,,0.213,0.257,1.2,0,5,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Left Side Plate,*,Designer Added Icon 1,,0.498,-0.38,6.4,0,3,Red,7505,,,,,,,,,,,,,,,1,,
Road Sidecar,,Left Side Plate,*,Regulatory Body Logo,,0.77,0.935,0.7000000000000001,0,11,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Left Side Plate,*,Governing Body Logo 2,,0.21,0.935,0.7000000000000001,0,12,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Left Side Plate,*,Series Sponsor,,0.493,0.846,1,0,13,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Left Side Plate,*,User Letter,,0.925,0.641,,0,14,Black,,,,,,,,,,1,left,75,Bold 01,1,,,,
Road Sidecar,,Left Side Plate,*,User State,,0.92,0.738,,0,15,Black,,,,,,,,,,1,left,75,Bold 01,1,,,,
Road Sidecar,,Left Side Plate,*,Governing Body Logo,,0.927,0.25,0.6000000000000001,0,16,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Left Side Plate,*,Class Logo,,0.073,0.251,0.6000000000000001,0,17,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,Governing Body Logo,,0.074,0.251,0.6000000000000001,0,11,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,Class Logo,,0.928,0.252,0.6000000000000001,0,12,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,Governing Body Logo 2,,0.793,0.935,0.7000000000000001,0,13,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,Regulatory Body Logo,,0.244,0.928,0.7000000000000001,0,14,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,Series Sponsor,,0.512,0.831,1,0,15,,,,,,,,,,,,,,,,,,,
Road Sidecar,,Front Number Plate,*,User Letter,,0.922,0.647,,0,16,Black,,,,,,,,,,1,left,75,Bold 01,1,,,,
Road Sidecar,,Front Number Plate,*,User State,,0.92,0.74,,0,17,Black,,,,,,,,,,1,left,75,Bold 01,1,,,,
