type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Supermoto Junior,,Front Number Plate,*,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
Supermoto Junior,,Front Number Plate,*,Corporate Logo,,0.516,0.726,1.528,0,7,,,,,,,,,,,,,,,,,,,
Supermoto Junior,,Front Number Plate,*,User Name,,0.513,0.821,,0,10,Black,,,,,,,,,,1,left,43,Bold 10,1,,,,
Supermoto Junior,,Front Number Plate,*,User Number,,0.511,0.445,,0,3,Black,,Red,,,,10,,,,1,left,187,Bold 10,1,,,,
Supermoto Junior,,Front Number Plate,*,User Flag,,0.229,0.087,1.6,0,8,,,,,,,,,,,,,,,,,,,
Supermoto Junior,,Front Number Plate,*,Target Name,,0.513,0.92,,0,11,Black,,,,,,,,,,1,left,31,Bold 10,1,,,,
Supermoto Junior,,Front Number Plate,*,Target Logo,,0.663,0.115,0.8999999999999999,0,9,,,,,,,,,,,,,,,,,,,
Supermoto Junior,,Front Number Plate,*,Designer Added Icon 1,,1.057,0.837,4.4,-65,4,Black,6115,Red,,,,1,,,,,,,,,,,,
Supermoto Junior,,Front Number Plate,*,Designer Added Icon 2,,-0.012,0.831,3.9,65,5,Black,6115,Red,,,,1,,,,,,,,,,,,
Supermoto Junior,,Right Side Plate,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Supermoto Junior,,Right Side Plate,*,Corporate Logo,,0.313,0.731,1.3,23,21,,,,,,,,,,,,,,,,,,,
Supermoto Junior,,Right Side Plate,*,User Name,,0.56,0.108,,10,11,Black,,,,,,,,,,1,left,57,Bold 10,1,,,,
Supermoto Junior,,Right Side Plate,*,User Number,,0.531,0.49,,10,10,Black,,Red,,,,10,,,,1,left,198,Bold 10,1,,,,
Supermoto Junior,,Right Side Plate,*,User Flag,,0.875,0.665,1,10,12,,,,,,,,,,,,,,,,,,,
Supermoto Junior,,Right Side Plate,*,Target Name,,0.559,0.317,,10,22,Black,,,,,,,,,,1,left,25,Bold 10,1,,,,
