type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Supermoto,,Front Number Plate,*,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Supermoto,,Front Number Plate,*,Corporate Logo,,0.5,0.066,1.5,0,8,,,,,,,,,,,,,,,,,,,
Supermoto,,Front Number Plate,*,User Name,,0.512,0.275,,0,14,Honda Red,,,,,,,,,,1,left,56,Bold 04,1,,,,
Supermoto,,Front Number Plate,*,User Number,,0.507,0.441,,0,5,Black,,Honda Red,,,,10,,,,1,left,322,Bold Italic 02,1,,,,
Supermoto,,Front Number Plate,*,User Flag,,0.788,0.132,1,0,6,,,,,,,,,,,,,,,,,,,
Supermoto,,Front Number Plate,*,Target Name,,0.678,0.808,,0,13,Black,,,,,,,,,,1,left,44,Bold 16,1,,,,
Supermoto,,Front Number Plate,*,Target Logo,,0.24,0.13,1.2,0,7,,,,,,,,,,,,,,,,,,,
Supermoto,,Front Number Plate,*,Designer Added Icon 1,,0.475,-0.071,6.1,0,4,Black,6115,,,,,,,,,,,,,,,,,
Supermoto,,Front Number Plate,*,Designer Added Icon 2,,0.495,1.073,4.5,0,9,Black,6115,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,Corporate Logo,,0.552,0.16,2.3,10,7,,,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,User Name,,0.531,0.256,,10,14,Honda Red,,,,,,,,,,1,left,83,Bold 08,1,,,,
Supermoto,,Right Side Plate,*,User Number,,0.504,0.463,,10,6,Black,,Honda Red,,,,10,,,,1,left,348,Bold Italic 02,1,,,,
Supermoto,,Right Side Plate,*,User Flag,,0.82,0.346,1,10,9,,,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,Target Name,,0.462,0.859,,10,16,Black,,,,,,,,,,1,left,68,Bold 16,1,,,,
Supermoto,,Right Side Plate,*,Target Logo,,0.915,0.622,1,10,12,,,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,Designer Added Icon 1,,0.59,-0.105,8,10,5,Black,6115,,,,,,,,,,,,,,,,,
Supermoto,,Left Side Plate,*,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,Governing Body Logo 2,,0.253,0.198,1,10,17,,,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,Regulatory Body Logo,,0.265,0.809,1,10,18,,,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,Class Logo,,0.655,0.9,1,10,19,,,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,Governing Body Logo,,0.083,0.389,0.8,13,20,,,,,,,,,,,,,,,,,,,
Supermoto,,Right Side Plate,*,Series Sponsor,,0.478,0.775,1,10,21,,,,,,,,,,,,,,,,,,,
