type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
690 Duke 2018,,Front Number Plate,11928,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
690 Duke 2018,,Front Number Plate,11928,User Name,,407.1113273346059,61.002014555950076,,0,4,Light Blue,,,,,,,,,,1,left,52,Bold Italic 01,1,,,,
690 Duke 2018,,Front Number Plate,11928,User Number,,466.18817485847103,161.38388193164195,,0,9,White,,,,,,,,,,-8,left,188,Bold Italic 02,1,,,,
690 Duke 2018,,Front Number Plate,11928,User Flag,,595.7848306692118,67.67321961821654,0.6000000000000001,0,2,,,,,,,,,,,,,,,,,,,
690 Duke 2018,,Front Number Plate,11928,Target Name,,627.545952,648.81188,,0,3,White,,,,,,,,,,1,left,44,Bold 16,1,,,,
690 Duke 2018,,Right Side Plate,11936,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
690 Duke 2018,,Right Side Plate,11936,User Name,,503.995266404145,231.5221150673575,,15,4,Light Blue,,,,,,,,,,1,left,64,Bold Italic 01,1,,,,
690 Duke 2018,,Right Side Plate,11936,User Number,,510.22342665284987,311.87443592746115,,15,7,White,,,,,,,,,,1,left,98,Bold Italic 02,1,,,,
690 Duke 2018,,Right Side Plate,11936,User Flag,,714.1604431088083,298.47556387564765,0.7000000000000001,15,3,,,,,,,,,,,,,,,,,,,
690 Duke 2018,,Front Number Plate,11928,Designer Added Icon 1,,869.0520380743495,647.5062974490809,4,-46,5,KTM Orange,6115,,,,,,,,,,,,,,,,,
690 Duke 2018,,Front Number Plate,11928,Designer Added Icon 2,,38.47518472602552,628.3217777385897,4,46,6,KTM Orange,6115,,,,,,,,,,,,,,,1,,
690 Duke 2018,,Front Number Plate,11928,Designer Added Icon 3,,1278.909268624989,499.6719177857283,8.800000000000004,44,7,Black,8473,,,,,,,,,,,,,,,,,
690 Duke 2018,,Front Number Plate,11928,Designer Added Icon 4,,-303.562377780745,550.1414490906261,8.800000000000004,-44,8,Black,8473,,,,,,,,,,,,,,,,,
690 Duke 2018,,Right Side Plate,11936,Designer Added Icon 1,,479.0665555555555,689.6729941719852,4.499999999999998,22,5,Light Blue,6115,,,,,,,,,,,,,,,,,
690 Duke 2018,,Right Side Plate,11936,Designer Added Icon 2,,100.945571099597,128.07035168493863,2.8,63,2,KTM Orange,7088,,,,,,,,,,,,,,,,,
690 Duke 2018,,Right Side Plate,11936,Designer Added Icon 3,,404.6820995970063,845.8803516849385,8.799999999999997,-68,6,Black,8473,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Front Number Plate,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Front Number Plate,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Right Side Plate,,User State,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Front Number Plate,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Front Number Plate,,User State,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Front Number Plate,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Front Number Plate,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Front Number Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Front Number Plate,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 Duke 2018,X,Front Number Plate,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,
