type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
690 SMC-R 2014-2018,,Front Number Plate,4552,Background,,0,0,1,0,1,KTM Orange,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,,Front Number Plate,4552,User Name,,641.1001518,284.6280572,,0,4,White,,,,,,,,,,1,left,51,Bold Italic 01,1,,,,
690 SMC-R 2014-2018,,Front Number Plate,4552,User Number,,281.5769359,195.8427563,,0,7,White,,,,,,,,,,-8,left,230,Bold Italic 02,1,,,,
690 SMC-R 2014-2018,,Front Number Plate,4552,User Flag,,727.2416167,236.5476268,0.4,0,3,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,,Right Side Plate,5328,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,,Right Side Plate,5328,User Name,,430.2448279,255.8815475,,10,6,White,,,,,,,,,,1,left,35,Bold Italic 01,1,,,,
690 SMC-R 2014-2018,,Right Side Plate,5328,User Number,,596.8901059,376.6679517,,10,7,White,,,,,,,,,,-8,left,263,Bold Italic 02,1,,,,
690 SMC-R 2014-2018,,Right Side Plate,5328,User Flag,,544.595967,282.223645,0.267805132,10,5,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,,Right Side Plate,5328,Designer Added Icon 1,,509.154205,367.7538754,8.6,14,4,Dark Grey,8545,,,,,,,,,,,,,,,1,,
690 SMC-R 2014-2018,,Right Side Plate,5328,Designer Added Icon 2,,297.8636976,202.9108503,1.3,-61,2,KTM Orange,7324,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,,Right Side Plate,5328,Designer Added Icon 3,,124.824058,229.3221637,2.7,43,3,Black,6115,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,,Front Number Plate,4552,Designer Added Icon 1,,426.2499469,666.809078,5.7,0,2,Black,8413,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,,Front Number Plate,4552,Designer Added Icon 2,,68.93822569,718.2861903,4,43,5,Dark Grey,8545,,,,,,,,,,,,,,,,1,
690 SMC-R 2014-2018,,Front Number Plate,4552,Designer Added Icon 3,,797.6926401,703.1458632,4,137,6,Dark Grey,8545,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 8,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 9,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 10,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 11,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 12,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 13,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 14,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Designer Added Icon 15,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 8,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 9,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 10,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 11,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 12,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 13,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Designer Added Icon 14,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,User State,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Right Side Plate,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,User State,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,
690 SMC-R 2014-2018,X,Front Number Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,
