type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
CR250R 2002-2003,,Right Lower Fork Cover,149,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
CR250R 2002-2003,X,Right Lower Fork Cover,149,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
CR250R 2002-2003,,Right Lower Fork Cover,149,Designer Added Icon 2,,71.53454462167687,572.7478135480573,3.199999999999999,90,10,White,7194,,,,,,,,,,,,,,,,,
CR250R 2002-2003,X,Right Lower Fork Cover,149,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,
CR250R 2002-2003,,Right Lower Fork Cover,149,Designer Added Icon 4,,277.03399214723925,401.3540400327199,6.699999999999992,90,3,,6895,,,,,,,,,,,,,,,,,
CR250R 2002-2003,X,Right Lower Fork Cover,149,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,
CR250R 2002-2003,X,Right Lower Fork Cover,149,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,
CR250R 2002-2003,X,Right Lower Fork Cover,149,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,
CR250R 2002-2003,,Left Lower Fork Cover,148,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
CR250R 2002-2003,X,Left Lower Fork Cover,148,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,1,,
CR250R 2002-2003,X,Left Lower Fork Cover,148,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,
CR250R 2002-2003,X,Left Lower Fork Cover,148,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,1,,
CR250R 2002-2003,X,Left Lower Fork Cover,148,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,1,,
CR250R 2002-2003,X,Left Lower Fork Cover,148,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,1,,
CR250R 2002-2003,,Front Fender,3187,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
CR250R 2002-2003,X,Front Fender,3187,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
