type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
CRF150R 2007-2018,,Right Lower Fork Cover,301,Background,,0,0,1,0,2,Dark Cyan,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Right Lower Fork Cover,301,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Right Lower Fork Cover,301,Designer Added Icon 2,,192.6143756,729.7886407,2.1,0,8,,119,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Right Lower Fork Cover,301,Designer Added Icon 3,,253.5169089,59.23783499,0.8,0,9,,7115,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Right Lower Fork Cover,301,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Right Lower Fork Cover,301,Designer Added Icon 5,,215.6923089,493.6080891,4.4,-4,4,Cyan,8277,,,,,,,,,,,,,,,1,1,
CRF150R 2007-2018,X,Right Lower Fork Cover,301,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Right Lower Fork Cover,301,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Left Lower Fork Cover,300,Background,,0,0,1,0,2,Dark Cyan,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Left Lower Fork Cover,300,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Left Lower Fork Cover,300,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,1,,
CRF150R 2007-2018,X,Left Lower Fork Cover,300,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,1,,
CRF150R 2007-2018,X,Left Lower Fork Cover,300,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,1,,
CRF150R 2007-2018,,Front Fender,1920,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Front Fender,1920,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 1,,139.9194275,367.0408684,2.6,-42,10,Dark Grey,7995,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 2,,210.5468444,973.6892883,1.6,77,18,,6102,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 3,,-183.7171047,220.7396751,5.048502931,112,4,Dark Grey,8322,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 4,,917.1864841,191.774542,5,-112,5,Dark Grey,8322,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 5,,604.6916884,356.1892112,2.567794741,42,11,Dark Grey,7996,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 6,,157.637056,434.0733464,0.6,76,7,Dark Grey,7316,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 7,,590.0796846,441.5190095,0.586196224,-76,8,Dark Grey,7318,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 8,,616.6916136,1199.154133,2.8,133,17,Cyan,8279,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Front Fender,1920,Designer Added Icon 9,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 10,,157.0497036,937.7362544,5.5,65,12,Dark Cyan,7486,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 11,,570.1399065,1021.844883,5.4,-65,13,Dark Cyan,7486,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 12,,509.8857725,720.0428165,1.6,-100,2,Dark Grey,8277,,,,,,,,,,,,,,,,1,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 13,,153.1495234,1198.477976,2.8,-133,16,Cyan,8279,,,,,,,,,,,,,,,1,,
CRF150R 2007-2018,,Front Fender,1920,Designer Added Icon 14,,251.3000836,716.9019347,1.6,-80,3,Dark Grey,8277,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Front Fender,1920,Designer Added Icon 15,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Front Fender,1920,Designer Added Icon 16,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Right Upper Fork Cover,304,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Right Upper Fork Cover,304,User Flag,,166.3629255,35.91057852,0.7,0,7,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Right Upper Fork Cover,304,Designer Added Icon 1,,312.0392991,119.8195356,3.8,-67,3,Dark Cyan,7153,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Right Upper Fork Cover,304,Designer Added Icon 2,,202.9325049,254.6890818,4.6,0,2,Dark Grey,8322,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Right Upper Fork Cover,304,Designer Added Icon 3,,180.6153595,579.2317742,1,0,4,,7115,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Right Upper Fork Cover,304,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Right Upper Fork Cover,304,Designer Added Icon 5,,293.6130864,46.29671635,2.8,-103,6,Cyan,7996,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,,Left Upper Fork Cover,304,Background,,0,0,1,0,4,Black,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Left Upper Fork Cover,304,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
CRF150R 2007-2018,X,Left Upper Fork Cover,304,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,
