type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
CRF150RB 2007-2018,,Right Lower Fork Cover,301,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Right Lower Fork Cover,301,Designer Added Icon 1,,39.725371,483.367539,1.8,90,9,White,2110,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Right Lower Fork Cover,301,Designer Added Icon 2,,244.523438,721.157292,1.3,0,10,,7115,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Right Lower Fork Cover,301,Designer Added Icon 3,,143.744542,366.80015,6,0,2,Dark Grey,8429,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Right Lower Fork Cover,301,Designer Added Icon 4,,370.848911,231.481959,3.2,-3,3,Black,7996,,,,,,,,,,,,,,,,1,
CRF150RB 2007-2018,,Right Lower Fork Cover,301,Designer Added Icon 5,,261.521623,318.386604,4,90,8,White,7194,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Left Lower Fork Cover,300,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Left Lower Fork Cover,300,Designer Added Icon 1,,416.900574,521.909883,1.8,-90,9,White,2110,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Left Lower Fork Cover,300,Designer Added Icon 2,,203.799807,739.404148,1.3,0,10,,7115,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Left Lower Fork Cover,300,Designer Added Icon 3,,280.593125,382.279439,6,0,2,Dark Grey,8429,,,,,,,,,,,,,,,1,,
CRF150RB 2007-2018,,Left Lower Fork Cover,300,Designer Added Icon 4,,74.706767,254.341425,3.2,3,3,Black,7996,,,,,,,,,,,,,,,1,1,
CRF150RB 2007-2018,,Left Lower Fork Cover,300,Designer Added Icon 5,,188.646666,427.96316,3.2,-90,8,White,7194,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Background,,0,0,1,0,1,Blue,,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 1,,580.877023,549.876944,1.4,-154,7,Blue,7324,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 2,,191.725484,926.635886,1,77,14,,6102,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 3,,351.347294,1130.886907,1.6,48,8,White,7261,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 4,,390.188383,648.864732,6.8,0,2,Red,8419,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 5,,179.866688,544.402819,1.4,152,6,Blue,7325,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 6,,388.870917,983.925958,4.5,0,3,Black,8016,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 7,,351.985226,36.999703,6,0,4,Red,6115,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 8,,473.344337,399.395594,6.4,103,9,Blue,7487,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 9,,116.440041,164.370775,1.9,64,12,White,6732,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 10,,631.172952,165.549414,1.9,-70,11,White,6732,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 11,,584.11955,933.192057,1,-77,13,,6102,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Front Fender,1920,Designer Added Icon 12,,271.521156,362.931512,6.4,75,5,Blue,7487,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Right Upper Fork Cover,304,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Right Upper Fork Cover,304,Designer Added Icon 1,,172.326346,321.0641,5,0,2,Dark Grey,8430,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Right Upper Fork Cover,304,Designer Added Icon 2,,-8.446677,565.242743,2.7,177,3,Black,7996,,,,,,,,,,,,,,,,1,
CRF150RB 2007-2018,,Right Upper Fork Cover,304,Designer Added Icon 3,,175.54805,40.6492,0.6,0,5,,7115,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Right Upper Fork Cover,304,Designer Added Icon 4,,176.963179,369.848424,3.1,90,4,,205,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Left Upper Fork Cover,304,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Left Upper Fork Cover,304,Designer Added Icon 1,,174.833535,329.027014,5,0,2,Dark Grey,8430,,,,,,,,,,,,,,,1,,
CRF150RB 2007-2018,,Left Upper Fork Cover,304,Designer Added Icon 2,,344.024138,566.690546,2.7,-177,3,Black,7996,,,,,,,,,,,,,,,1,1,
CRF150RB 2007-2018,,Left Upper Fork Cover,304,Designer Added Icon 3,,175.955239,35.581891,0.6,0,5,,7115,,,,,,,,,,,,,,,,,
CRF150RB 2007-2018,,Left Upper Fork Cover,304,Designer Added Icon 4,,173.092308,363.333312,3.1,-90,4,,205,,,,,,,,,,,,,,,,,
