type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
CRF450R AUS & EU 2005,,Right Lower Fork Cover,149,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Right Lower Fork Cover,149,Designer Added Icon 1,,448.911801,676.677254,5.3,126,3,Dark Emerald Green,8305,,,,,,,,,,,,,,,1,,
CRF450R AUS & EU 2005,,Right Lower Fork Cover,149,Designer Added Icon 2,,390.547482,496.392789,2.8,-90,7,Racing Blue,7194,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Right Lower Fork Cover,149,Designer Added Icon 3,,208.399959,767.165397,1,0,8,,7115,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Right Lower Fork Cover,149,Designer Added Icon 4,,447.010484,676.602666,5.3,-54,5,Dark British Racing Green,8305,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Right Lower Fork Cover,149,Designer Added Icon 5,,48.186777,278.446686,4.8,37,6,Racing Blue,8473,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Left Lower Fork Cover,148,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Left Lower Fork Cover,148,Designer Added Icon 1,,-3.637115,698.504277,5.3,-126,3,Dark Emerald Green,8305,,,,,,,,,,,,,,,1,,
CRF450R AUS & EU 2005,,Left Lower Fork Cover,148,Designer Added Icon 2,,129.496136,480.835347,2.8,90,7,Racing Blue,7194,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Left Lower Fork Cover,148,Designer Added Icon 3,,275.217769,790.909572,1,0,8,,7115,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Left Lower Fork Cover,148,Designer Added Icon 4,,15.518571,723.352666,5.3,54,5,Dark British Racing Green,8305,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Left Lower Fork Cover,148,Designer Added Icon 5,,423.928039,338.616751,4.8,-36,6,Racing Blue,8473,,,,,,,,,,,,,,,1,,
CRF450R AUS & EU 2005,,Front Fender,373,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Front Fender,373,Designer Added Icon 1,,91.15174,446.725286,3.5,78,23,Orange,2110,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Front Fender,373,Designer Added Icon 2,,449.762611,1362.364414,2,86,21,,6102,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Front Fender,373,Designer Added Icon 3,,976.041131,523.059393,5.7,90,4,Dark Emerald Green,8305,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Front Fender,373,Designer Added Icon 4,,495.550981,1267.643346,5.7,109,5,Dark Emerald Green,8305,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Front Fender,373,Designer Added Icon 5,,129.330678,452.514504,5.7,104,12,Dark Emerald Green,8305,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Front Fender,373,Designer Added Icon 6,,32.574703,428.977815,5.7,109,18,Dark British Racing Green,8305,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Front Fender,373,Designer Added Icon 7,,907.387148,527.463588,5.7,109,19,Dark British Racing Green,8305,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Front Fender,373,Designer Added Icon 8,,698.754678,1195.824324,5.7,109,20,Dark British Racing Green,8305,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Front Fender,373,Designer Added Icon 9,,871.386436,450.76577,3.5,105,22,Orange,2110,,,,,,,,,,,,,,,1,1,
CRF450R AUS & EU 2005,,Right Upper Fork Cover,386,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Right Upper Fork Cover,386,Designer Added Icon 1,,422.127508,332.467365,4.9,-143,9,Racing Blue,8473,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Right Upper Fork Cover,386,Designer Added Icon 2,,128.42559,130.401864,4.8,-143,4,Racing Blue,8473,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Right Upper Fork Cover,386,Designer Added Icon 3,,196.773289,37.828769,0.7,0,5,,7115,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Right Upper Fork Cover,386,Designer Added Icon 4,,193.1677,346.008815,3.1,90,11,Racing Blue,103,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2005,,Left Upper Fork Cover,386,Background,,0,0,1,0,5,Black,,,,,,,,,,,,,,,,,,
